nome_municipio,setor_cnae,nome_profissao,total_trabalhadores_nao_clt,salario_medio
Araçariguama,,Supervisor Administrativo,93,1717.7
Itu,,Agente De Saúde Pública,93,3014.54
Itu,,Motorista De Carro De Passeio,93,2823.5
Araçatuba,,Vendedor De Comércio Varejista,89,1163.8
Itapetininga,,Repositor De Mercadorias,89,817.78
Boituva,,Alimentador De Linha De Produção,88,1104.6
Americana,,"Tecelão De Malhas, A  Máquina",87,1174.75
Itapeva,,Guarda-Civil Municipal,87,4074.44
Cerquilho,,Auxiliar Geral De Conservação De Vias Permanentes (Exceto Trilhos),87,1989.73
Ibiúna,,Atendente De Enfermagem,87,2222.11
Pindamonhangaba,,Vendedor De Comércio Varejista,85,1485.65
Itapetininga,,Assistente Administrativo,84,3029.1
Ibiúna,,Supervisor Administrativo,83,2809.95
Americana,,"Mecânico De Manutenção De Máquinas, Em Geral",82,1351.16
Itapetininga,,Dirigente Do Serviço Público Municipal,82,4049.86
Piedade,,Professor De Nível Médio Na Educação Infantil,81,3138.15
Itupeva,,Cozinheiro Geral,80,2935.76
Americana,,Trabalhador Volante Da Agricultura,80,2013.72
Porto Feliz,,Cozinheiro Geral,79,1504.77
Americana,,Atendente De Lojas E Mercados,78,1195.07
Itupeva,,Operador De Caixa,78,1138.06
Araçoiaba da Serra,,Assistente Administrativo,78,2841.26
Itapeva,,Motorista De Caminhão (Rotas Regionais E Internacionais),77,2218.25
Americana,,Cozinheiro Geral,77,2069.97
Ibiúna,,Assistente Administrativo,77,9514.22
Americana,,"Embalador, A Mão",77,990.32
Itupeva,,Vendedor De Comércio Varejista,76,2228.89
Pindamonhangaba,,Alimentador De Linha De Produção,74,1432.14
Araçoiaba da Serra,,Professor De Nível Médio Na Educação Infantil,73,2957.81
Porto Feliz,,Guarda-Civil Municipal,73,5163.33
Araçatuba,,Enfermeiro,72,4402.24
Araçatuba,,Magarefe,72,746.77
Americana,,Operador De Caixa,72,1433.41
Pindamonhangaba,,Apontador De Produção,72,1348.36
Araçatuba,,Faxineiro,70,2354.77
Macatuba,,Trabalhador De Serviços De Limpeza E Conservação De Áreas Públicas,70,1723.84
Itu,,Enfermeiro,70,5341.23
Boituva,,Guarda-Civil Municipal,70,6265.15
Itupeva,,Professor De Nível Médio Na Educação Infantil,70,5348.3
Americana,,Auxiliar De Logistica,69,1664
Itapetininga,,Técnico De Enfermagem,69,1804.96
Americana,,Guarda-Civil Municipal,69,7484.69
Itapeva,,Babá,68,1712.58
Ibiúna,,Motorista De Caminhão (Rotas Regionais E Internacionais),67,2984.65
Itapetininga,,Coletor De Lixo Domiciliar,67,1730.44
Itapeva,,Vigia,66,2583.51
Araçatuba,,Estivador,66,1145.77
Itapetininga,,Enfermeiro,65,3413.42
Itu,,Operador De Empilhadeira,65,2055.42
Itapetininga,,Vendedor De Comércio Varejista,65,1762.97
Americana,,Assistente De Vendas,65,1270.65
Araçatuba,,Gerente De Instituição Educacional Da Área Privada,64,6266.59
Americana,,Almoxarife,64,1478.45
Itu,,Motorista De Caminhão (Rotas Regionais E Internacionais),64,2049.38
Araçatuba,,Motorista De Caminhão (Rotas Regionais E Internacionais),63,2607.8
Araçatuba,,Cobrador Interno,62,910.72
Araçariguama,,Auxiliar De Escritório,61,1603.85
Piedade,,Operador De Linha De Montagem (Aparelhos Eletrônicos),61,1906.6
Itu,,Pedreiro,60,3112.73
Itu,,Assistente Social,59,4419.51
Itapeva,,Coordenador Pedagógico,59,5832.82
Itapetininga,,Técnico De Enfermagem Da Estratégia De Saúde Da Família,59,1771.08
Itu,,Babá,59,2043.16
Macatuba,,Auxiliar De Escritório,58,1102.06
Itupeva,,Assistente Administrativo,57,1344.63
Itu,,Almoxarife,57,1929.05
