nome_municipio,setor_cnae,nome_profissao,total_trabalhadores_nao_clt,salario_medio
Ibiúna,,Técnico De Enfermagem,17,2702.43
Itapetininga,,Auxiliar Geral De Conservação De Vias Permanentes (Exceto Trilhos),17,1757.22
Porto Feliz,,Músico Arranjador,17,2775.94
Charqueada,,Guarda-Civil Municipal,17,2612.24
Araçariguama,,Professor De Educação Física Do Ensino Fundamental,17,4152.7
Americana,,Operador De Máquinas-Ferramenta Convencionais,17,1304.77
Itu,,Pintor De Obras,17,3101.38
Boituva,,Pedreiro,17,2728.21
Macatuba,,Soldador,17,2280.46
Itupeva,,Operador De Empilhadeira,17,1140.01
Itapeva,,Servente De Obras,17,1605.76
Ibiúna,,Fiscal De Tributos Municipal,17,2636.67
Americana,,Procurador Do Município,17,20774.35
Boituva,,Diretor De Instituição Educacional Pública,17,9755.67
Macatuba,,Agente Comunitário De Saúde,17,1885.47
Ibiúna,,Garçom,17,1586.43
Itu,,Montador De Máquinas,17,1502.37
Araçatuba,,Sepultador,16,1989.74
Itapetininga,,Professor De Música No Ensino Superior,16,2753.63
Itapeva,,Cuidador Em Saúde,16,1091.91
Itapeva,,Fiscal De Tributos Municipal,16,5251.64
Americana,,Gerente De Loja E Supermercado,16,2297.93
Itupeva,,Auxiliar De Enfermagem,16,5997.21
Araçariguama,,Cumim,16,1054.46
Araçariguama,,Dirigente Do Serviço Público Federal,16,3602.15
Boituva,,Professor De História Do Ensino Fundamental,16,4859.16
Boituva,,Bombeiro Civil,16,5158.24
Boituva,,Cirurgião Dentista - Clínico Geral,16,7835.34
Americana,,Coletor De Lixo Domiciliar,16,1201.13
Macatuba,,Caldeireiro (Chapas De Ferro E Aço),16,2267.69
Itupeva,,Trabalhador Da Manutenção De Edificações,16,781.26
Itu,,Técnico De Contabilidade,16,6705.12
Araçatuba,,"Mecânico De Manutenção De Máquinas, Em Geral",16,838.91
Araçatuba,,Almoxarife,16,1265.95
Boituva,,Trabalhador Da Cultura De Cana-De-Açúcar,16,0
Itupeva,,Atendente De Lanchonete,16,879.55
Itapetininga,,Atendente De Farmácia - Balconista,16,1009.83
Itupeva,,Psicólogo Clínico,16,6333.99
Ibiúna,,Fisioterapeuta Geral,16,4336.51
Itupeva,,Repositor De Mercadorias,16,871.41
Itupeva,,Auxiliar Em Saúde Bucal,16,4768.08
Porto Feliz,,Agente De Trânsito,16,3622.29
Piedade,,Professor De Educação Artística Do Ensino Fundamental,16,2777.08
Itu,,Engenheiro Civil,16,5917.11
Piedade,,Médico Clínico,16,10700.06
Araçatuba,,Cumim,16,1771.29
Itupeva,,Vigilante,15,928.32
Araçariguama,,Enfermeiro,15,5312.13
Americana,,Professor De Ensino Superior Na Área De Prática De Ensino,15,4249.09
Itapeva,,Farmacêutico,15,3333.81
Porto Feliz,,Assistente Social,15,4482.19
Porto Feliz,,Servente De Obras,15,2434.03
Pindamonhangaba,,Preparador De Sucata E Aparas,15,1309.54
Americana,,Atendente De Lanchonete,15,1142.98
Pindamonhangaba,,Carregador (Armazém),15,1775.1
Araçatuba,,Porteiro De Edifícios,15,1614.43
Araçariguama,,Professor De Matemática Do Ensino Fundamental,15,4468.98
Americana,,Sepultador,15,2608.08
Araçatuba,,Soldador,15,2821.83
Itapetininga,,Operador De Máquinas-Ferramenta Convencionais,15,2369.85
Piedade,,Professor De Educação Física Do Ensino Fundamental,15,3092.87
Porto Feliz,,Coordenador Pedagógico,15,4482.17
Americana,,Tecelão (Tear Automático),15,2394.55
Itu,,Cuidador De Idosos,15,1591.34
Dourado,,Trabalhador Agropecuário Em Geral,15,1380.3
Cerquilho,,Operador De Estação De Tratamento De Água E Efluentes,14,4558.96
Itu,,Frentista,14,1397.99
Araçatuba,,Técnico Em Saúde Bucal,14,3135.68
Charqueada,,Professor De Educação Física No Ensino Médio,14,2119.66
Araçatuba,,"Revestidor De Interiores (Papel, Material Plástico E Emborrachados)",14,3028.27
Boituva,,Agente Comunitário De Saúde,14,2215.74
Itupeva,,Atendente De Lojas E Mercados,14,1041.35
Boituva,,Professor De Geografia Do Ensino Fundamental,14,5041.09
Araçariguama,,Motorista De Caminhão (Rotas Regionais E Internacionais),14,2379.07
Araçatuba,,Operador De Empilhadeira,14,1791.58
Americana,,Operador De Máquinas Operatrizes,14,1859.61
Piedade,,Operador De Motoniveladora,14,2611.29
Araçariguama,,Dirigente Do Serviço Público Municipal,14,4019.28
Itu,,Cobrador De Transportes Coletivos (Exceto Trem),14,3191.03
Americana,,Professores De Cursos Livres,14,3556.91
Americana,,Professor De Nível Superior Do Ensino Fundamental (Primeira A Quarta Série),14,4207.76
Araçatuba,,Eletricista De Manutenção Eletroeletrônica,14,3706
Itu,,Atendente De Farmácia - Balconista,14,1382.67
Americana,,Operador De Centro De Usinagem Com Comando Numérico,14,2572.08
Boituva,,Psicólogo Clínico,14,4494.61
Piedade,,Motorista De Caminhão (Rotas Regionais E Internacionais),14,2184.55
Itu,,Trabalhador De Fabricação De Tintas,13,2634.89
Ibiúna,,Secretária(O) Executiva(O),13,2588.52
Araçatuba,,Engenheiro Civil,13,8474.6
Americana,,Fisioterapeuta Geral,13,5343.71
Porto Feliz,,Bombeiro Civil,13,4309.15
Itu,,Zelador De Edifício,13,2191.92
Itapetininga,,Farmacêutico,13,3562.6
Americana,,Frentista,13,1703.65
Itu,,Visitador Sanitário,13,3617.71
Itupeva,,Ajudante De Motorista,13,1058.06
Itu,,Jardineiro,13,2733.03
Americana,,Carregador (Veículos De Transportes Terrestres),13,1577.46
Araçariguama,,Diretor De Instituição Educacional Pública,13,2602.32
Itupeva,,Estoquista,13,1355.77
Cabreúva,,Dirigente Do Serviço Público Municipal,13,6717.5
Araçariguama,,Professor De Ciências Exatas E Naturais Do Ensino Fundamental,13,4715.25
Itapeva,,Soldador,13,2485.4
Araçatuba,,Operador De Pá Carregadeira,13,3544.84
Itupeva,,Secretária(O) Executiva(O),13,4552.2
Porto Feliz,,Preparador Físico,13,2688.29
Itapetininga,,Cirurgião-Dentista Da Estratégia De Saúde Da Família,13,5898.38
Porto Feliz,,"Operador De Máquinas Fixas, Em Geral",13,4230.67
Porto Feliz,,Vendedor De Comércio Varejista,13,1165.86
Porto Feliz,,"Mecânico De Manutenção De Máquinas, Em Geral",13,1113.95
Americana,,Desenhista Técnico (Eletricidade E Eletrônica),13,2232.46
Americana,,Agente Comunitário De Saúde,13,2422.08
Porto Feliz,,Preparador De Máquinas-Ferramenta,13,977.87
Americana,,Auxiliar De Contabilidade,13,1415.11
Cerquilho,,"Operador De Pavimentadora (Asfalto, Concreto E Materiais Similares)",13,3723.86
Americana,,Serralheiro,13,1407.94
Araçatuba,,Procurador Do Município,13,9457.1
Pindamonhangaba,,"Mecânico De Manutenção De Máquinas, Em Geral",13,664.85
Ibiúna,,Vendedor De Comércio Varejista,13,656.82
Cerquilho,,Técnico De Enfermagem,13,2242.86
Cerquilho,,Costureiro Na Confecção Em Série,13,1623.15
Pindamonhangaba,,Motorista De Caminhão (Rotas Regionais E Internacionais),13,2128.53
Pindamonhangaba,,Ajustador Mecânico Em Bancada,12,1500.65
Itupeva,,Operador De Pá Carregadeira,12,7213.92
Itapetininga,,Músico Regente,12,1948.75
Itapetininga,,Fonoaudiólogo Geral,12,3262.4
Araçatuba,,Socorrista (Exceto Médicos E Enfermeiros),12,3175.89
Cerquilho,,Almoxarife,12,2548.68
Ibiúna,,Masseiro (Massas Alimentícias),12,1240.74
Araçariguama,,Motorista De Furgão Ou Veículo Similar,12,1880.13
Itapetininga,,Nutricionista,12,3271.65
Araçatuba,,Técnico De Tributos Estadual,12,10157.67
Itu,,Fonoaudiólogo Geral,12,4316.77
Americana,,Educador Social,12,2273.6
Pindamonhangaba,,Ajustador Mecânico,12,2454.53
Araçatuba,,Operador De Mensagens De Telecomunicações (Correios),12,4026.74
Itapeva,,Operador De Máquinas De Construção Civil E Mineração,12,3450.95
Americana,,Vendedor Em Comércio Atacadista,12,2134.6
Araçariguama,,Repositor De Mercadorias,12,1048.06
Cerquilho,,Ajudante De Confecção,12,1106.19
Itu,,Expedidor De Mercadorias,12,1868.4
Itu,,Farmacêutico,12,4858.03
Itapeva,,"Embalador, A Mão",12,849.92
Itapetininga,,Pedreiro,12,1453.55
Itapetininga,,Fisioterapeuta Geral,12,2874.8
Americana,,Promotor De Vendas,12,1124.4
Araçoiaba da Serra,,Mãe Social,12,2055.7
Americana,,Atendente De Farmácia - Balconista,12,2235.32
Americana,,Auxiliar De Farmácia De Manipulação,12,1912.73
Itu,,Operador De Telemarketing Ativo E Receptivo,12,433.61
Araçoiaba da Serra,,Coletor De Lixo Domiciliar,12,2279.57
Itapeva,,Agente De Combate Às Endemias,12,2009.39
Americana,,Montador De Estruturas Metálicas,12,1957.24
Porto Feliz,,Auxiliar De Manutenção Predial,12,1780.06
Araçoiaba da Serra,,Condutor De Ambulância,11,3306.45
Itu,,Eletricista De Instalações,11,4003.71
Pindamonhangaba,,Trabalhador Da Pecuária (Bovinos Corte),11,1066.89
Araçatuba,,Açougueiro,11,1360.93
Charqueada,,Técnico De Enfermagem Do Trabalho,11,1850.3
Itu,,"Embalador, A Mão",11,873.6
Itapeva,,Técnico De Desporto Individual E Coletivo (Exceto Futebol),11,2871.08
Araçariguama,,Pedreiro,11,2444.32
Cerquilho,,Cirurgião Dentista - Clínico Geral,11,8499.26
Itu,,Auxiliar Nos Serviços De Alimentação,11,1311.66
Araçatuba,,Trabalhador Agropecuário Em Geral,11,4144.11
Ibiúna,,Agente De Defesa Ambiental,11,2198.14
Pindamonhangaba,,Faxineiro,11,1333.17
Araçatuba,,Auxiliar Em Saúde Bucal,11,5971.88
Itapeva,,Pedagogo,11,5328.58
Americana,,"Montador De Máquinas, Motores E Acessórios (Montagem Em Série)",11,1940.8
Americana,,Técnico Químico,11,3697.87
Porto Feliz,,Leiturista,11,4589.05
Itapetininga,,Técnico Em Saúde Bucal,11,1819.4
Araçatuba,,Agente De Segurança,11,4821.76
Charqueada,,Coordenador Pedagógico,11,3731.92
Piedade,,Enfermeiro,11,5399.65
Ibiúna,,Alimentador De Linha De Produção,11,1139.6
Piedade,,Pedreiro,11,2072.6
Americana,,Mecânico De Manutenção De Máquinas Têxteis,11,1137.5
Itu,,Auxiliar Geral De Conservação De Vias Permanentes (Exceto Trilhos),11,1529.33
Itu,,Assistente De Laboratório Industrial,11,2168.95
Itu,,Técnico Em Segurança Do Trabalho,11,3180.47
Araçatuba,,Técnico Em Farmácia,11,2293.73
Araçatuba,,Vigilante,11,3701.65
Cerquilho,,Faxineiro,11,1361.47
Ibiúna,,Psicólogo Clínico,11,4363.84
Americana,,Ajustador Mecânico,11,3688.34
Piedade,,Guarda-Civil Municipal,11,2779.03
Cabreúva,,Auxiliar De Logistica,11,1414.27
Araçariguama,,"Recepcionista, Em Geral",11,1248.78
Araçoiaba da Serra,,Pedreiro,11,2579.46
Boituva,,Açougueiro,11,1298.03
Itapetininga,,Almoxarife,11,1297.76
Americana,,Operador De Inspeção De Qualidade,11,1361.57
Araçatuba,,Vendedor Em Comércio Atacadista,10,2030.13
Itupeva,,Montador De Equipamentos Eletrônicos,10,1462.22
Americana,,Conferente De Carga E Descarga,10,1211.21
Araçatuba,,Supervisor De Ensino,10,8390.99
Itu,,"Operador De Máquinas Fixas, Em Geral",10,2321.01
Itu,,Açougueiro,10,1640.57
Itu,,Costureira De Reparação De Roupas,10,1512.85
Ibiúna,,Professor De Alunos Com Deficiência Múltipla,10,5283.77
Itapetininga,,Trabalhador De Serviços De Limpeza E Conservação De Áreas Públicas,10,1943.34
Itapetininga,,Motorista De Caminhão (Rotas Regionais E Internacionais),10,2244.74
Ibiúna,,Monitor De Transporte Escolar,10,1419.14
Macatuba,,Pedreiro,10,2540.74
Americana,,Mecânico De Manutenção De Máquinas-Ferramentas (Usinagem De Metais),10,591.77
Boituva,,Médico Endocrinologista E Metabologista,10,5716.21
Araçatuba,,Auxiliar De Laboratório De Análises Físico-Químicas,10,1534.26
Itapeva,,Técnico De Obras Civis,10,1704.57
Itu,,Operador De Máquina De Dobrar Chapas,10,1871.63
Araçoiaba da Serra,,Psicólogo Clínico,10,2922.27
Pindamonhangaba,,Caldeireiro (Chapas De Ferro E Aço),10,2825.36
Araçariguama,,Professor De Língua Estrangeira Moderna Do Ensino Fundamental,10,4368.83
Araçariguama,,Frentista,10,1859.55
Americana,,Desenvolvedor De Sistemas De Tecnologia Da Informação (Técnico),10,2322.08
Cerquilho,,Trabalhador Da Manutenção De Edificações,10,2072.7
Araçariguama,,Auxiliar Nos Serviços De Alimentação,10,1339.7
Cerquilho,,Diretor De Instituição Educacional Pública,10,4686.16
Itapeva,,Técnico De Suporte Ao Usuário De Tecnologia Da Informação,10,1588.52
Americana,,Telefonista,10,4229.75
Itu,,Oficial De Justiça,10,3645.65
Pindamonhangaba,,Auxiliar Nos Serviços De Alimentação,10,1191.22
Araçoiaba da Serra,,Técnico Em Radiologia E Imagenologia,10,2715.78
Araçatuba,,Pedreiro (Chaminés Industriais),10,2454.54
Itapeva,,Visitador Sanitário,10,2410.58
Americana,,Médico Clínico,10,11438.43
Itapetininga,,Terapeuta Ocupacional,10,3638.9
Porto Feliz,,Agente De Portaria,10,1429.71
Charqueada,,Professor De Língua Portuguesa Do Ensino Fundamental,10,1998.59
Cerquilho,,Auxiliar De Enfermagem,10,2521.87
Itu,,"Operador De Estação De Captação, Tratamento E Distribuição De Água",10,3103.86
Macatuba,,Gerente Administrativo,10,7881.23
Porto Feliz,,Técnico Em Secretariado,10,3344.27
Itu,,Administrador,10,3465.15
Itu,,Arquiteto De Edificações,10,5660.93
Araçariguama,,Professores De Cursos Livres,10,3876.84
Itu,,Trabalhador Agropecuário Em Geral,9,832.54
Itapeva,,Auxiliar De Manutenção Predial,9,2706.21
Araçatuba,,Professor De Nível Superior Na Educação Infantil (Quatro A Seis Anos),9,2615.98
Araçatuba,,Operador De Computador,9,7638.36
Porto Feliz,,Professor De Alunos Com Deficiência Mental,9,4366.6
Itapeva,,"Trabalhador De Extração Florestal, Em Geral",9,1349.26
Cerquilho,,Motorista De Caminhão (Rotas Regionais E Internacionais),9,2627.58
Araçoiaba da Serra,,Professor De Língua Estrangeira Moderna Do Ensino Fundamental,9,2937.53
Macatuba,,Atendente De Lojas E Mercados,9,1148.32
Cerquilho,,Assistente Social,9,5711.78
Americana,,"Operador De Utilidade (Produção E Distribuição De Vapor, Gás, Óleo, Combustível, Energia, Oxigênio)",9,1340.69
Cabreúva,,Faxineiro,9,1137.21
Itu,,Operador De Escavadeira,9,3277.02
Araçatuba,,Operador De Máquinas-Ferramenta Convencionais,9,1683.61
Itapetininga,,Pintor De Obras,9,1600.65
Araçoiaba da Serra,,Professor De Educação Artística Do Ensino Fundamental,9,3076.95
Itupeva,,Trabalhador Da Elaboração De Pré-Fabricados (Concreto Armado),9,1233.99
Araçatuba,,Operador De Estação De Tratamento De Água E Efluentes,9,3855.84
Araçoiaba da Serra,,Professor De Ciências Exatas E Naturais Do Ensino Fundamental,9,2856.3
Americana,,Psicólogo Social,9,4025.71
Porto Feliz,,Operador De Estação De Tratamento De Água E Efluentes,9,4752.91
Araçoiaba da Serra,,Técnico Em Manutenção De Equipamentos De Informática,9,3407.27
Araçoiaba da Serra,,Professor De Nível Superior Na Educação Infantil (Quatro A Seis Anos),9,1227.83
Americana,,"Técnico De Utilidade (Produção E Distribuição De Vapor, Gases, Óleos, Combustíveis, Energia)",9,8036.42
Porto Feliz,,Faxineiro,9,1587.15
Araçatuba,,Arquiteto De Edificações,9,6695.74
Araçatuba,,Técnico De Contabilidade,9,5485.42
Araçoiaba da Serra,,Assistente Social,9,3512.09
Itu,,Estoquista,9,1366.13
Itapeva,,Pedreiro,9,2052.28
Americana,,Auxiliar De Faturamento,9,2657.55
Itu,,Consultor Jurídico,9,10531.27
Boituva,,Farmacêutico,9,6260.36
Americana,,Auxiliar Geral De Conservação De Vias Permanentes (Exceto Trilhos),9,1151.34
Itu,,Técnico Em Radiologia E Imagenologia,9,3971.9
Americana,,Cirurgião Dentista - Clínico Geral,9,5473.16
Itupeva,,Fisioterapeuta Geral,9,6118.43
Ibiúna,,Visitador Sanitário,9,3965.6
Ibiúna,,Médico Clínico,9,10926.22
Araçariguama,,Vigilante,9,1540.62
Porto Feliz,,Porteiro De Edifícios,9,2797.37
Araçariguama,,Auxiliar De Pessoal,9,1515.73
Charqueada,,Diretor De Instituição Educacional Pública,9,4401.18
Pindamonhangaba,,Pedreiro,9,1957.1
Americana,,Motorista De Ônibus Rodoviário,9,1758.73
Americana,,"Mecânico De Manutenção De Automóveis, Motocicletas E Veículos Similares",9,2541.58
Itapetininga,,"Mecânico De Manutenção De Máquinas, Em Geral",9,1907.35
Cerquilho,,Educador Social,9,1523.94
Itupeva,,Professor De Língua Inglesa,9,4858.96
Itapeva,,Motorista De Ônibus Urbano,9,1615.53
Americana,,Vendedor Em Domicílio,9,939.38
Araçatuba,,Atendente De Lanchonete,9,1113.33
Itu,,Gerente De Instituição Educacional Da Área Privada,9,3465.88
Araçatuba,,Professor De Economia,9,1747.36
Piedade,,Vendedor De Comércio Varejista,8,1739.68
Pindamonhangaba,,Eletricista De Manutenção Eletroeletrônica,8,1216.2
Ibiúna,,Cirurgião Dentista - Auditor,8,4074.11
Americana,,Ajudante De Motorista,8,1366.29
Americana,,Trabalhador De Serviços De Limpeza E Conservação De Áreas Públicas,8,1347.77
Americana,,Expedidor De Mercadorias,8,1576.61
Itapetininga,,Jardineiro,8,2182.74
Itu,,Técnico De Laboratório De Análises Físico-Químicas (Materiais De Construção),8,2618.13
Itapetininga,,Mestre (Construção Civil),8,2720.4
Itapetininga,,Técnico De Desporto Individual E Coletivo (Exceto Futebol),8,3396.55
Itapetininga,,Auxiliar De Manutenção Predial,8,2279.62
Itu,,Operador De Máquinas-Ferramenta Convencionais,8,2611.32
Itupeva,,Assistente Social,8,5576.48
Itapeva,,Supervisor De Ensino,8,7581.51
Porto Feliz,,Repositor De Mercadorias,8,997.84
Itapetininga,,Motorista De Ônibus Rodoviário,8,1663.19
Americana,,Técnico De Manutenção Eletrônica,8,841.19
Porto Feliz,,Operador De Caixa,8,1351.56
Araçatuba,,Analista De Desenvolvimento De Sistemas,8,4997.18
Ibiúna,,Sepultador,8,2248.75
Araçoiaba da Serra,,Professor De Geografia Do Ensino Fundamental,8,1939.32
Araçariguama,,Psicólogo Clínico,8,4935.84
Itupeva,,Inspetor De Qualidade,8,1019.43
Itu,,Desenvolvedor De Sistemas De Tecnologia Da Informação (Técnico),8,3441.47
Araçoiaba da Serra,,Fiscal De Tributos Municipal,8,2685.41
Porto Feliz,,Agente De Saúde Pública,8,4146.16
Araçoiaba da Serra,,Professor De História Do Ensino Fundamental,8,2467.52
Itupeva,,Operador De Câmaras Frias,8,2308.19
Itu,,Contador,8,5391.74
Itu,,Contínuo,8,1938.49
Boituva,,"Embalador, A Mão",8,886.34
Itu,,Eletricista De Manutenção Eletroeletrônica,8,1360.59
Itupeva,,Ajustador Mecânico,8,1178.9
Itapeva,,Técnico Em Radiologia E Imagenologia,8,2858.82
Itapeva,,Agente De Trânsito,8,1500
Americana,,Auxiliar De Laboratório De Análises Físico-Químicas,8,2201.32
Pindamonhangaba,,"Recepcionista, Em Geral",8,1156.57
Itapetininga,,Professor Instrutor De Ensino E Aprendizagem Em Serviços,8,2530.42
Itapeva,,Atendente De Lojas E Mercados,8,968.03
Itupeva,,Médico Pediatra,8,9509.33
Itupeva,,Técnico De Desporto Individual E Coletivo (Exceto Futebol),8,8934.31
Cabreúva,,Operador De Máquina De Lavar Fios E Tecidos,8,1057.53
Itu,,Secretária(O) Executiva(O),8,1983.92
Araçoiaba da Serra,,Auxiliar De Escritório,8,1817.43
Boituva,,Pesquisador Em Psicologia,8,4005.83
Araçariguama,,Atendente De Lanchonete,8,833.9
Macatuba,,Médico Clínico,8,7462.44
Araçariguama,,Supervisor De Controle Patrimonial,8,1268.53
Araçoiaba da Serra,,Professor De Alunos Com Deficiência Múltipla,8,2735.02
Itu,,Pedagogo,8,6657.6
Porto Feliz,,Secretária(O) Executiva(O),8,4731.21
Ibiúna,,Arquivista,8,2437.07
Itapetininga,,"Embalador, A Mão",8,1144.17
Charqueada,,Professor De Educação Artística Do Ensino Fundamental,8,2028.88
Macatuba,,Assistente Social,8,6044.58
Itapetininga,,Mecânico De Veículos Automotores A Diesel (Exceto Tratores),7,2484.29
Charqueada,,Assistente Social,7,2279.3
Itapetininga,,Médico Pediatra,7,8131.81
Araçatuba,,"Mecânico De Manutenção De Automóveis, Motocicletas E Veículos Similares",7,2958.17
Araçariguama,,Professor De História Do Ensino Fundamental,7,5515.96
Itu,,Trabalhador Da Manutenção De Edificações,7,1274.67
Americana,,Aplicador De Asfalto Impermeabilizante (Coberturas),7,3118.1
Itu,,Galvanizador,7,1471.57
Cerquilho,,Atendente De Lanchonete,7,1229.54
Cerquilho,,Monitor De Transporte Escolar,7,976.65
Piedade,,Assistente Social,7,4229.99
Americana,,Fonoaudiólogo Geral,7,4136.03
Araçatuba,,Orientador Educacional,7,2187.78
Piedade,,Coletor De Lixo Domiciliar,7,1802.09
Americana,,Analista De Recursos Humanos,7,2835.98
Araçatuba,,Analista De Redes E De Comunicação De Dados,7,10955.75
Cabreúva,,Almoxarife,7,1428.44
Araçariguama,,Professor De Geografia Do Ensino Fundamental,7,4964.22
Cerquilho,,Expedidor De Mercadorias,7,979.08
Araçatuba,,Assistente De Vendas,7,2014.04
Itapetininga,,Fiscal De Transportes Coletivos (Exceto Trem),7,1329.32
Americana,,Pintor De Estruturas Metálicas,7,1467.39
Piedade,,Auxiliar De Desenvolvimento Infantil,7,2881.98
Boituva,,"Operador De Máquinas Fixas, Em Geral",7,2376.24
Americana,,Biólogo,7,4989.5
Cerquilho,,"Embalador, A Mão",7,1175.1
Americana,,Zelador De Edifício,7,2588.12
Cabreúva,,Operador De Máquinas-Ferramenta Convencionais,7,1713.03
Itu,,Professor De Educação Física No Ensino Médio,7,4522.9
Araçatuba,,Fisioterapeuta Geral,7,2998.42
Americana,,Atendente De Enfermagem,7,1724.77
Araçariguama,,Técnico De Planejamento De Produção,7,2021.03
Americana,,Técnico De Telecomunicações (Telefonia),7,1513.72
Itu,,Nutricionista,7,5502.11
Boituva,,Auxiliar Em Saúde Bucal,7,2547.44
Cerquilho,,Encanador,7,3950.61
Cerquilho,,Marmorista (Construção),7,2293.2
Charqueada,,Cozinheiro Geral,7,1311.15
Itapetininga,,Vendedor Em Domicílio,7,1381
Itapeva,,Trabalhador Volante Da Agricultura,7,1094.74
Macatuba,,Cirurgião Dentista - Clínico Geral,7,7609.87
Itapetininga,,"Recepcionista, Em Geral",7,1250.67
Itapetininga,,Eletricista De Manutenção Eletroeletrônica,7,2202.99
Pindamonhangaba,,Almoxarife,7,1827.81
Itapetininga,,Professor De Língua Portuguesa Do Ensino Fundamental,7,2648.4
Ibiúna,,Auxiliar Técnico Em Laboratório De Farmácia,7,2492.96
Macatuba,,Psicólogo Clínico,7,5181.43
Itapeva,,Médico Veterinário,7,3972.68
Ibiúna,,Recreador,7,3332.59
Itu,,Biólogo,7,6920.82
Itapetininga,,Inspetor De Qualidade,7,885.24
Araçatuba,,Estoquista,7,1106.15
Itu,,Operador De Estação De Bombeamento,7,3091.18
Macatuba,,Preparador De Estruturas Metálicas,7,1126.98
Piedade,,Assistente Administrativo,7,2689.96
Araçatuba,,Administrador,7,10792.17
Americana,,Operador De Processo De Tratamento De Imagem,7,1025.26
Americana,,Agente De Saúde Pública,7,5926.94
Araçatuba,,,7,3608.25
Americana,,Contínuo,7,1043.48
Piedade,,Fiscal De Tributos Municipal,7,4782.89
Itapeva,,Agente De Saúde Pública,7,2998.25
Itupeva,,Pintor De Obras,7,2705.33
Araçatuba,,Analista De Suporte Computacional,7,2859.23
Charqueada,,Secretária(O) Executiva(O),7,3134.97
Itapetininga,,Operador De Trator Florestal,7,1218.63
Porto Feliz,,Pedreiro,7,3859.74
Itu,,Técnico Em Saúde Bucal,7,3656.63
Pindamonhangaba,,Pintor De Estruturas Metálicas,7,1116.35
Americana,,Montador De Equipamentos Elétricos (Instrumentos De Medição),7,1520.83
Americana,,Nutricionista,7,4068.23
Americana,,Comprador,7,3475.4
Araçatuba,,Topógrafo,7,2915.42
Americana,,Escrevente,6,11665.15
Araçatuba,,Gerente De Loja E Supermercado,6,4783.31
Araçatuba,,Auxiliar De Contabilidade,6,2101.8
Araçoiaba da Serra,,Procurador Do Município,6,5409.15
Cerquilho,,Psicólogo Clínico,6,4384.26
Pindamonhangaba,,Padeiro,6,1938.76
Dourado,,Orientador Educacional,6,5121.47
Ibiúna,,Mãe Social,6,2115.91
Macatuba,,Técnico De Enfermagem,6,1925.07
Itapetininga,,Supervisor De Ensino,6,6292.49
Pindamonhangaba,,Gerente De Loja E Supermercado,6,5109.2
Itu,,Inspetor De Qualidade,6,2963.94
Itapeva,,Procurador Do Município,6,13516.29
Dourado,,Auxiliar Nos Serviços De Alimentação,6,1407.76
Itupeva,,Pedreiro,6,3328.72
Cerquilho,,Enfermeiro Da Estratégia De Saúde Da Família,6,3737.11
Americana,,Fundidor De Metais,6,2025.74
Itapetininga,,Monitor De Dependente Químico,6,1354.02
Itapetininga,,Carregador (Veículos De Transportes Terrestres),6,1757.23
Cerquilho,,Soldador,6,2903.85
Ibiúna,,Auxiliar De Enfermagem,6,3080.36
Araçoiaba da Serra,,Técnico De Imobilização Ortopédica,6,2513.84
Itu,,Analista De Recursos Humanos,6,2701.18
Pindamonhangaba,,Porteiro De Edifícios,6,991
Itupeva,,Conferente De Carga E Descarga,6,1689.28
Americana,,Carpinteiro,6,2375.24
Itu,,Servente De Obras,6,1582.49
Macatuba,,Vigia,6,1867.62
Porto Feliz,,Instalador De Tubulações,6,3942.12
Pindamonhangaba,,Controlador De Entrada E Saída,6,720.87
Itapetininga,,Avaliador Físico,6,3258
Americana,,Lubrificador Industrial,6,1053.3
Piedade,,Secretária(O) Executiva(O),6,5436.69
Charqueada,,Professor De Língua Inglesa,6,2120.75
Araçariguama,,Visitador Sanitário,6,1491.29
Itupeva,,Motorista De Carro De Passeio,6,4705.46
Ibiúna,,Trabalhador Volante Da Agricultura,6,902.88
Porto Feliz,,Fiscal De Tributos Municipal,6,4243.66
Porto Feliz,,Jardineiro,6,1720.73
Araçariguama,,Fisioterapeuta Geral,6,4946.68
Itupeva,,Professor De Filosofia No Ensino Médio,6,4668.29
Itu,,Vendedor Em Comércio Atacadista,6,1172.76
Piedade,,Sepultador,6,1338.63
Itapetininga,,Médico Ginecologista E Obstetra,6,9712.36
Itapeva,,Operador De Motoniveladora,6,2814.18
Dourado,,Supervisor Administrativo,6,2004.61
Itu,,Porteiro De Edifícios,6,1093.62
Araçatuba,,Diretor Geral De Empresa E Organizações (Exceto De Interesse Público),6,6386.94
Americana,,Trabalhador Da Manutenção De Edificações,6,1097.58
Americana,,Controlador De Entrada E Saída,6,1328.71
Araçatuba,,Pedreiro,6,2151.82
Itu,,Dirigente De Entidade De Trabalhadores,6,5062.71
Itupeva,,Gerente De Produção E Operações Da Construção Civil E Obras Públicas,6,5098.39
Araçatuba,,Auxiliar Nos Serviços De Alimentação,6,1000.27
Araçatuba,,Telefonista,6,4401.53
Americana,,Técnico De Desporto Individual E Coletivo (Exceto Futebol),6,1353.45
Itapeva,,Técnico Em Nutrição E Dietética,6,1572.77
Itupeva,,Médico Ginecologista E Obstetra,6,11752.01
Cerquilho,,Operador De Estação De Bombeamento,6,4104.55
Itupeva,,Médico Clínico,6,10396.77
Americana,,Operador De Retorcedeira,6,1181.27
Pindamonhangaba,,Fiscal De Loja,6,1142.8
Itu,,Atendente De Enfermagem,6,2852.71
