nome_municipio,setor_cnae,nome_profissao,total_trabalhadores_clt,salario_medio
Americana,,Auxiliar De Contabilidade,496,2487.21
Itapeva,,Operador De Caixa,495,1605.91
Itupeva,,Almoxarife,494,2460.34
Americana,,Soldador,486,3186.97
Porto Feliz,,Ajudante De Confecção,480,1301.82
Americana,,"Mecânico De Manutenção De Máquinas, Em Geral",477,4141.31
Americana,,Gerente Administrativo,477,5108.6
Itupeva,,Faxineiro,474,1558.22
Araçatuba,,Auxiliar Nos Serviços De Alimentação,474,1482.45
Americana,,Analista De Suporte Computacional,468,2726.88
Araçatuba,,Açougueiro,466,1858.93
Cerquilho,,Ajudante De Confecção,464,1295.94
Araçoiaba da Serra,,Alimentador De Linha De Produção,462,2279.83
Itupeva,,Operador De Empilhadeira,462,2492.4
Itapetininga,,Técnico De Enfermagem,458,2440.86
Boituva,,Assistente Administrativo,455,2339.84
Araçatuba,,Enfermeiro,454,4199.5
Porto Feliz,,Auxiliar De Escritório,448,1933.32
Itu,,"Operador De Máquinas Fixas, Em Geral",445,3273.97
Americana,,Atendente De Lanchonete,439,1570.23
Araçatuba,,Analista De Desenvolvimento De Sistemas,436,4227.97
Cerquilho,,Laminador De Plástico,434,2385.83
Ibiúna,,Motorista De Caminhão (Rotas Regionais E Internacionais),434,2121.83
Ibiúna,,Auxiliar De Escritório,433,1747
Cerquilho,,Vendedor De Comércio Varejista,433,1722.97
Araçariguama,,Carregador (Armazém),431,1603.59
Itu,,Cozinheiro Geral,430,1788.34
Cerquilho,,Auxiliar De Escritório,429,1938.39
Pindamonhangaba,,Servente De Obras,426,1964.25
Americana,,Expedidor De Mercadorias,424,1993.05
Itapetininga,,"Costureiro, A  Máquina  Na Confecção Em Série",422,1277.09
Araçatuba,,Gerente Administrativo,421,4285.34
Itu,,"Recepcionista, Em Geral",421,1645.23
Pindamonhangaba,,Professor De Nível Médio Na Educação Infantil,417,3397.19
Pindamonhangaba,,"Recepcionista, Em Geral",417,1583.95
Americana,,Operador Polivalente Da Indústria Têxtil,416,1883.95
Itapetininga,,Repositor De Mercadorias,416,1562.21
Itapeva,,Trabalhador Volante Da Agricultura,412,1461.34
Itapetininga,,"Operador De Máquinas Fixas, Em Geral",412,2574.79
Itu,,Montador De Equipamentos Eletrônicos,410,1801.58
Cerquilho,,Motorista De Caminhão (Rotas Regionais E Internacionais),409,2457.37
Itu,,Auxiliar Nos Serviços De Alimentação,405,1512.3
Itu,,Operador De Empilhadeira,403,2602.04
Dourado,,Alimentador De Linha De Produção,401,2188.65
Pindamonhangaba,,Técnico De Enfermagem,396,2333.03
Americana,,Açougueiro,396,2301.2
Itupeva,,"Operador De Máquinas Fixas, Em Geral",395,2853.23
Itupeva,,"Mecânico De Manutenção De Máquinas, Em Geral",393,4824.3
Itu,,Atendente De Lanchonete,391,1539.14
Araçatuba,,Pedreiro,390,1751.19
Araçatuba,,Almoxarife,390,2003.38
Boituva,,Operador De Caixa,388,1813.95
Americana,,Frentista,382,2181.37
Araçatuba,,Cozinheiro Geral,380,1612.35
Itu,,Ajudante De Motorista,380,1566.82
Araçatuba,,"Mecânico De Manutenção De Automóveis, Motocicletas E Veículos Similares",377,2378.77
Itapeva,,Assistente Administrativo,377,1985.7
Itapeva,,Alimentador De Linha De Produção,377,1509.57
Itapetininga,,Servente De Obras,376,1569.02
Pindamonhangaba,,Porteiro De Edifícios,375,1719.99
Porto Feliz,,Assistente Administrativo,373,2778.89
Pindamonhangaba,,"Mecânico De Manutenção De Máquinas, Em Geral",372,3699.89
Ibiúna,,Repositor De Mercadorias,371,1518.36
Itu,,Trabalhador De Serviços De Limpeza E Conservação De Áreas Públicas,368,1863.95
Cabreúva,,Auxiliar De Escritório,365,2161.46
Americana,,Professor De Nível Médio Na Educação Infantil,362,5315.58
Piedade,,Motorista De Caminhão (Rotas Regionais E Internacionais),360,2226.65
Americana,,Administrador,360,3688.22
Itupeva,,Inspetor De Qualidade,358,3542.09
Araçatuba,,Auxiliar De Contabilidade,358,2210.15
Itu,,Trabalhador Agropecuário Em Geral,357,1692.41
Itapeva,,Serrador De Madeira,356,1470.39
Itu,,Supervisor Administrativo,355,4584.18
Ibiúna,,Operador De Caixa,354,1723.68
Itupeva,,Operador De Máquinas-Ferramenta Convencionais,354,3179.31
Americana,,Ajudante De Motorista,352,1664.87
Itapetininga,,"Mecânico De Manutenção De Máquinas, Em Geral",352,2921.26
Araçariguama,,Faxineiro,350,1263.35
Araçatuba,,Ajudante De Motorista,345,1706.89
Pindamonhangaba,,Inspetor De Qualidade,342,5192.62
Americana,,"Mecânico De Manutenção De Automóveis, Motocicletas E Veículos Similares",339,2483.57
Americana,,"Embalador, A Mão",338,1435.04
Americana,,Contador,337,4905.38
Itapeva,,Atendente De Lojas E Mercados,336,1461.96
Itapeva,,Faxineiro,336,1324.87
Itu,,Servente De Obras,336,1706.24
Itu,,Vigia,334,2312.32
Pindamonhangaba,,Auxiliar Nos Serviços De Alimentação,334,1371.5
Pindamonhangaba,,Soldador,331,3541.81
Itu,,Operador De Máquina De Dobrar Chapas,328,2870.77
Itapetininga,,"Recepcionista, Em Geral",328,1476.19
Itapetininga,,Açougueiro,326,1794.68
Itu,,Inspetor De Qualidade,324,3619.78
Pindamonhangaba,,Trabalhador Agropecuário Em Geral,324,1507.23
Americana,,Auxiliar De Enfermagem,322,2711.68
Americana,,Atendente De Farmácia - Balconista,319,2396.11
Porto Feliz,,Faxineiro,316,1536.45
Araçatuba,,Vigia,315,1955.67
Itu,,Motorista De Ônibus Rodoviário,314,2859.04
Araçatuba,,Supervisor Administrativo,314,3564.72
Americana,,Ajudante De Confecção,313,1510.28
Itupeva,,Atendente De Lojas E Mercados,313,1674.11
Americana,,Pedreiro,313,2075.54
Pindamonhangaba,,Operador De Acabamento De Peças Fundidas,312,4726.43
Americana,,Eletricista De Manutenção Eletroeletrônica,310,5410.68
Itu,,Auxiliar De Contabilidade,309,2863.82
Cabreúva,,Operador De Empilhadeira,308,2996.01
Pindamonhangaba,,Frentista,307,2075.15
Itapetininga,,Atendente De Lanchonete,305,1498.14
Americana,,Desenvolvedor De Sistemas De Tecnologia Da Informação (Técnico),305,5906.2
Boituva,,Soldador,304,3232.44
Americana,,Motorista De Furgão Ou Veículo Similar,304,2446.86
Araçariguama,,Auxiliar De Escritório,303,1818.58
Araçatuba,,"Embalador, A Mão",302,1208.42
Ibiúna,,Trabalhador Na Produção De Mudas E Sementes,301,1281.49
Americana,,Trabalhador Da Manutenção De Edificações,300,1902.35
Pindamonhangaba,,Repositor De Mercadorias,300,1629.14
Porto Feliz,,Motorista De Caminhão (Rotas Regionais E Internacionais),300,2293.16
Americana,,Revisor De Tecidos Acabados,296,1778.83
Americana,,Professor De Ensino Superior Na Área De Prática De Ensino,296,3041.31
Cerquilho,,Costureiro Na Confecção Em Série,296,1509.11
Americana,,Vendedor Em Comércio Atacadista,294,3566.32
Pindamonhangaba,,Pedreiro,290,2101.1
Pindamonhangaba,,Auxiliar De Enfermagem,289,2194.06
Araçatuba,,Promotor De Vendas Especializado,289,1801.78
Americana,,Promotor De Vendas,288,1276.16
Pindamonhangaba,,Almoxarife,288,2829.28
Araçatuba,,Frentista,287,1918.7
Cerquilho,,"Embalador, A Mão",287,1344.17
Itu,,Gerente Administrativo,286,5363.11
Itu,,Soldador,286,3271.67
Araçatuba,,Recepcionista De Consultório Médico Ou Dentário,285,1478.79
Itu,,Açougueiro,285,2141.39
Araçatuba,,Soldador,284,2697.71
Americana,,Analista De Desenvolvimento De Sistemas,283,6478.06
Americana,,Enfermeiro,280,4802.49
Cabreúva,,Motorista De Caminhão (Rotas Regionais E Internacionais),280,2422.93
Americana,,Gerente De Loja E Supermercado,278,4071.91
Araçatuba,,Armazenista,278,1768.55
Araçariguama,,Socorrista (Exceto Médicos E Enfermeiros),278,992.74
Itu,,Contador,278,5862.22
Itu,,"Operador De Produção (Química, Petroquímica E Afins)",277,2777.02
Itapetininga,,Pedreiro,276,1843.77
Americana,,Motofretista,275,2044.39
Cabreúva,,"Operador De Máquinas Fixas, Em Geral",275,2754.76
Americana,,Gerente Comercial,275,5315.96
Araçatuba,,Escriturário De Banco,274,8789.29
Itu,,Moldador De Plástico Por Injeção,273,2700.7
Itupeva,,Montador De Equipamentos Eletrônicos,272,1862.2
Americana,,Escriturário De Banco,272,8557.26
Americana,,"Costureiro, A  Máquina  Na Confecção Em Série",272,1605.74
Cabreúva,,Assistente Administrativo,271,2652.23
Itu,,Administrador,271,4688.87
Itu,,Frentista,271,2081.23
Porto Feliz,,Trabalhador Agropecuário Em Geral,270,1616.63
Piedade,,Auxiliar De Escritório,270,1718.62
Itapetininga,,Gerente Administrativo,269,4562.68
Cabreúva,,"Mecânico De Manutenção De Máquinas, Em Geral",267,6195.78
Americana,,Marceneiro,265,2495.76
Boituva,,Almoxarife,265,2314.47
Araçatuba,,Trabalhador De Serviços De Limpeza E Conservação De Áreas Públicas,263,1627.7
Cabreúva,,Almoxarife,263,2617.75
Itu,,Marceneiro,262,2090.08
Porto Feliz,,Almoxarife,261,2147.5
Araçatuba,,Auxiliar Geral De Conservação De Vias Permanentes (Exceto Trilhos),261,1653.46
Itu,,Ceramista,261,1812.73
Americana,,Armazenista,261,2422.82
Itapeva,,"Recepcionista, Em Geral",260,1466.62
Americana,,Operador De Abertura (Fiação),260,1843.8
Porto Feliz,,Operador De Máquinas Operatrizes,259,2680.55
Americana,,Serralheiro,259,2502.41
Itapeva,,Técnico De Enfermagem,259,2494.89
Americana,,Carregador (Veículos De Transportes Terrestres),258,1857.3
Boituva,,Inspetor De Qualidade,255,2435.52
Araçatuba,,Vendedor Em Comércio Atacadista,254,2801.95
Cerquilho,,Faxineiro,254,1264.34
Macatuba,,Motorista De Caminhão (Rotas Regionais E Internacionais),253,3174.61
Araçatuba,,Assistente De Vendas,252,2029.15
Cabreúva,,Vendedor De Comércio Varejista,250,2322.11
Ibiúna,,"Trabalhador Na Olericultura (Talos, Folhas E Flores)",249,1310.68
Piedade,,Alimentador De Linha De Produção,248,2004.21
Itapeva,,Servente De Obras,248,1512.19
Porto Feliz,,Operador De Caixa,247,1899.58
Cerquilho,,Trabalhador Da Cultura De Cana-De-Açúcar,247,1739.36
Araçariguama,,Assistente Administrativo,246,2809.15
Piedade,,Operador De Linha De Montagem (Aparelhos Eletrônicos),245,2317.41
Itupeva,,Operador De Máquinas Operatrizes,243,2848.4
Itu,,"Mecânico De Manutenção De Máquinas, Em Geral",242,3824.86
Americana,,Analista De Recursos Humanos,241,3821.31
Americana,,Auxiliar De Desenvolvimento Infantil,241,2454.96
Americana,,Apontador De Produção,240,3115.76
Americana,,Lavador De Veículos,239,1496.3
Boituva,,"Operador De Máquinas Fixas, Em Geral",238,2318.97
Cabreúva,,Professor Da  Educação De Jovens E Adultos Do Ensino Fundamental (Primeira A Quarta Série),238,4974.88
Americana,,Moldador De Plástico Por Injeção,238,2678.16
Cerquilho,,Assistente Administrativo,238,2194.46
Cabreúva,,Oleiro (Fabricação De Tijolos),237,1528.42
Americana,,Professor De Nível Superior Do Ensino Fundamental (Primeira A Quarta Série),236,5336.31
Araçatuba,,"Operador De Máquinas De Fabricação De Doces, Salgados E Massas Alimentícias",236,3126.33
Itupeva,,Operador De Inspeção De Qualidade,236,2451.36
Itapetininga,,Trabalhador No Cultivo De Árvores Frutíferas,236,1693.16
Pindamonhangaba,,Supervisor Administrativo,235,4394.03
Itapeva,,Pedreiro,234,1905.22
Araçatuba,,Operador De Empilhadeira,234,2438.5
Americana,,Recepcionista De Consultório Médico Ou Dentário,234,1677.79
Itupeva,,Auxiliar Nos Serviços De Alimentação,232,1589.17
Itu,,Operador De Linha De Montagem (Aparelhos Elétricos),232,2664.37
Ibiúna,,Faxineiro,232,1484.22
Araçariguama,,Motorista De Caminhão (Rotas Regionais E Internacionais),232,2790.77
Itapetininga,,Auxiliar Nos Serviços De Alimentação,232,1373.77
Pindamonhangaba,,Cozinheiro Geral,231,1548.46
Americana,,Vigia,229,2096.66
Americana,,Guarda-Civil Municipal,228,8794.55
Itupeva,,"Montador De Máquinas, Motores E Acessórios (Montagem Em Série)",227,3990.05
Itupeva,,Auxiliar De Logistica,226,1998.84
Cerquilho,,Operador De Caixa,224,1732.62
Itu,,"Mecânico De Manutenção De Automóveis, Motocicletas E Veículos Similares",224,2562.56
Americana,,Gerente De Vendas,223,7115.89
Boituva,,Promotor De Vendas,223,1664.9
Americana,,Operador De Empilhadeira,222,2583.98
Boituva,,Porteiro De Edifícios,222,1991.86
Itupeva,,Ajudante De Motorista,220,1638.65
Itu,,Trabalhador Da Manutenção De Edificações,220,1982.96
Cerquilho,,Tecelão De Meias (Máquina Circular),219,1560.23
Americana,,Professor Da  Educação De Jovens E Adultos Do Ensino Fundamental (Primeira A Quarta Série),218,6280.69
Araçatuba,,Auxiliar De Pessoal,218,1670.45
Araçoiaba da Serra,,Trabalhador Agropecuário Em Geral,217,1454.85
Itu,,Técnico De Garantia Da Qualidade,217,4697.74
Araçatuba,,Vigilante,217,2447.43
Itu,,Técnico De Planejamento De Produção,216,5218.93
Itu,,"Trefilador De Metais, À Máquina",216,3837.72
Itu,,Pedreiro,215,2302.8
Cabreúva,,"Montador De Máquinas, Motores E Acessórios (Montagem Em Série)",215,2358.29
Araçatuba,,Gerente Comercial,215,4496.18
Itapeva,,"Trabalhador De Extração Florestal, Em Geral",214,1393.89
Americana,,Supervisor De Vendas Comercial,213,3973.35
Itu,,Garçom,213,1795.74
Itupeva,,Supervisor Administrativo,212,5552.5
Piedade,,Trabalhador Volante Da Agricultura,212,1388.25
Americana,,Garçom,212,1749.72
Porto Feliz,,Trabalhador Da Avicultura De Postura,211,1680.77
Boituva,,Atendente De Lojas E Mercados,210,1520.03
Itu,,Moldador De Borracha Por Compressão,210,2473.02
Itapetininga,,Almoxarife,209,1973.11
Pindamonhangaba,,Técnico De Manutenção Elétrica,209,8165.8
Ibiúna,,Trabalhador No Cultivo De Flores E Folhagens De Corte,209,1427.48
Ibiúna,,Vigia,208,2214.74
Itu,,Motorista De Furgão Ou Veículo Similar,207,2217.58
Araçatuba,,Atendente De Farmácia - Balconista,207,1861.28
Americana,,Motorista De Carro De Passeio,206,2400.01
Itapetininga,,Operador De Empilhadeira,206,2135.88
Cerquilho,,Operador De Máquina De Costura De Acabamento,205,1453.64
Itapetininga,,Ajudante De Confecção,205,1137.11
Itapetininga,,Vigia,204,1820.24
Itapetininga,,Supervisor Administrativo,203,4459.99
Americana,,"Operador De Máquinas Fixas, Em Geral",201,2441.6
Itu,,Motofretista,200,1960.09
Piedade,,Operador De Caixa,200,1787.68
Americana,,Mecânico De Manutenção De Máquinas Têxteis,198,3941.8
Araçatuba,,Motorista De Furgão Ou Veículo Similar,198,2178.42
Boituva,,Preparador De Estruturas Metálicas,198,2255.29
Boituva,,"Mecânico De Manutenção De Máquinas, Em Geral",197,3632.89
Araçatuba,,Trabalhador Agropecuário Em Geral,197,1834.91
Ibiúna,,Assistente Administrativo,197,2283.04
Porto Feliz,,Atendente De Lojas E Mercados,197,1624.69
Araçatuba,,Agente Comunitário De Saúde,197,1930.35
Itupeva,,Atendente De Lanchonete,196,1482.47
Itapetininga,,Ajudante De Motorista,196,1546.26
Pindamonhangaba,,Operador De Máquinas-Ferramenta Convencionais,196,4587.75
Itapetininga,,Inspetor De Qualidade,196,2200.87
Araçatuba,,Tratorista Agrícola,195,2401.68
Araçatuba,,Farmacêutico,195,3762.15
Cabreúva,,Inspetor De Qualidade,193,3760.43
Itu,,Motorista De Ônibus Urbano,192,2726.42
