nome_municipio,setor_cnae,nome_profissao,total_trabalhadores_clt,salario_medio
Americana,,Operador De Linha De Montagem (Aparelhos Elétricos),14,1576.69
Araçoiaba da Serra,,Carregador (Veículos De Transportes Terrestres),14,1658.44
Itu,,Técnico Mecânico (Máquinas),14,3408.56
Ibiúna,,Copeiro,14,1162.76
Cerquilho,,Vendedor Em Domicílio,14,4545.45
Porto Feliz,,Mestre (Construção Civil),14,2434.52
Cabreúva,,Garçom,14,1615.76
Piedade,,Instrutor De Auto-Escola,14,2453.38
Cabreúva,,Fisioterapeuta Geral,14,4262.36
Araçatuba,,"Instalador De Cortinas E Persianas, Portas Sanfonadas E Boxe",14,1758.45
Americana,,Professor De Língua Estrangeira Moderna No Ensino Médio,14,3146.92
Porto Feliz,,Instalador-Reparador De Redes Telefônicas E De Comunicação De Dados,14,2484.12
Pindamonhangaba,,Professores De Cursos Livres,14,2034.2
Cerquilho,,Secretária(O) Executiva(O),14,2341.15
Itapeva,,Instalador-Reparador De Equipamentos De Transmissão Em Telefonia,14,1518.38
Itu,,Gerente De Hotel,14,5805.43
Dourado,,Lustrador De Peças De Madeira,14,2629.1
Cabreúva,,"Operador De Máquinas De Fabricação De Doces, Salgados E Massas Alimentícias",14,2672.55
Itapetininga,,"Mestre (Indústria De Celulose, Papel E Papelão)",14,7772.05
Araçatuba,,Emissor De Passagens,14,1366.37
Ibiúna,,Auxiliar De Logistica,14,1485.43
Porto Feliz,,Analista De Logistica,14,3334.83
Americana,,Gerente De Serviços De Saúde,14,6769.35
Charqueada,,"Operador De Máquinas Fixas, Em Geral",14,2631.28
Dourado,,Analista De Recursos Humanos,14,4194.93
Cabreúva,,Supervisor De Caixas E Bilheteiros (Exceto Caixa De Banco),14,2620.94
Cabreúva,,"Embalador, A Máquina",14,2399.93
Araçoiaba da Serra,,Encarregado De Manutenção Mecânica De Sistemas Operacionais,14,4323.81
Araçariguama,,Motorista Operacional De Guincho,14,2457
Porto Feliz,,Economista Financeiro,14,7664.96
Itu,,Gerente De Agência,14,11076.23
Itu,,Trabalhador Da Cultura De Café,14,1781.73
Itapeva,,"Operador De Máquina De Usinagem Madeira, Em Geral",14,1964.1
Porto Feliz,,Gerente De Projetos E Serviços De Manutenção,14,12153.97
Cerquilho,,Operador De Escavadeira,14,2766
Araçatuba,,Carpinteiro,14,1997.71
Itapetininga,,Técnico De Manutenção Elétrica,14,4798.3
Itupeva,,Chefe De Cozinha,14,3710.66
Itu,,"Moldador, A  Máquina",14,2922.88
Araçoiaba da Serra,,Trabalhador Da Pecuária (Eqüinos),14,2554.78
Araçariguama,,Operador De Pá Carregadeira,14,3071.01
Boituva,,Professores De Cursos Livres,14,1996.9
Itupeva,,Atendente Comercial (Agência Postal),14,2573.64
Porto Feliz,,Técnico Em Radiologia E Imagenologia,14,4226.26
Porto Feliz,,Acabador De Superfícies De Concreto,14,2785.81
Araçatuba,,Mecânico De Manutenção De Motores Diesel (Exceto De Veículos Automotores),14,2704.05
Cabreúva,,Analista Financeiro (Instituições Financeiras),14,3774.58
Araçatuba,,Montador De Equipamentos Elétricos,14,1562.28
Itu,,Assistente De Laboratório Industrial,14,2719.31
Piedade,,Gerente De Contas - Pessoa Física E Jurídica,14,4926.14
Charqueada,,Trabalhador Em Criatórios De Animais Produtores De Veneno,14,2046.97
Cerquilho,,Mestre (Construção Civil),14,2978.5
Itapetininga,,"Operador De Pavimentadora (Asfalto, Concreto E Materiais Similares)",14,2667.55
Araçatuba,,Auxiliar De Laboratório De Análises Físico-Químicas,14,2016.4
Pindamonhangaba,,Operador De Máquina De Dobrar Chapas,14,3347.27
Pindamonhangaba,,Operador De Bomba De Concreto,14,2682.51
Araçariguama,,"Operador De Produção (Química, Petroquímica E Afins)",14,3314.4
Itu,,Diretor Comercial,14,29665.32
Pindamonhangaba,,Psicólogo Educacional,14,1727.49
Americana,,Eletricista De Instalações (Edifícios),14,2721.87
Americana,,Agente De Viagem,14,2524.26
Charqueada,,Trabalhador Da Cultura De Cana-De-Açúcar,14,1786.2
Piedade,,Encarregado De Acabamento De Chapas E Metais  (Têmpera),14,3037.11
Itapeva,,Funileiro De Veículos (Reparação),14,2227.66
Porto Feliz,,Auxiliar De Pessoal,14,2230.48
Itu,,"Supervisor De Fabricação De Produtos Cerâmicos, Porcelanatos E Afins",14,4470.07
Cabreúva,,Contramestre De Tecelagem (Indústria Têxtil),14,2932.4
Itapeva,,Marmorista (Construção),14,1387.76
Araçatuba,,Armador De Estrutura De Concreto,14,1944.08
Itapeva,,"Mecânico De Manutenção De Máquinas Cortadoras De Grama, Roçadeiras, Motosserras E Similares",14,2414.4
Pindamonhangaba,,Economista Financeiro,14,6027.65
Pindamonhangaba,,"Eletricista De Manutenção De Linhas Elétricas, Telefônicas E De Comunicação De Dados",14,3216.51
Araçatuba,,Gerente De Compras,14,4632.66
Araçariguama,,Montador De Móveis E Artefatos De Madeira,14,1875.6
Boituva,,Cozinheiro Industrial,14,1749.7
Araçatuba,,Operador De Tratamento De Calda Na Refinação De Açúcar,14,2667.62
Pindamonhangaba,,Autor-Roteirista,14,2542.53
Cabreúva,,Supervisor De Compras,14,6630.45
Araçoiaba da Serra,,Técnico Em Segurança Do Trabalho,14,4588.29
Araçatuba,,Analista De Pcp (Programação E Controle Da Produção),14,3432.38
Pindamonhangaba,,Mestre (Indústria De Borracha E Plástico),14,7901.74
Itupeva,,Operador De Torno Com Comando Numérico,14,3718.37
Charqueada,,Auxiliar De Logistica,14,1946.36
Cerquilho,,Agente Funerário,14,2273.33
Charqueada,,Soldador,14,2700.07
Cerquilho,,Moldador De Plástico Por Injeção,14,1709.18
Itapeva,,Operador De Guindaste Móvel,14,2837.95
Itu,,Fiscal De Transportes Coletivos (Exceto Trem),14,2292.51
Araçatuba,,"Montador De Equipamentos Eletrônicos (Estação De Rádio, Tv E Equipamentos De Radar)",14,3266.2
Itu,,Auxiliar De Serviços Jurídicos,14,1652.35
Piedade,,Comprador,14,2935.16
Itu,,Cortador De Pedras,14,2001.2
Boituva,,Trabalhador Da Elaboração De Pré-Fabricados (Concreto Armado),14,1549.38
Americana,,Inspetor De Risco,14,2427.19
Itapetininga,,Atendente De Judiciário,14,2060.16
Araçariguama,,Balanceiro,14,1819.23
Itapetininga,,Operador De Estação De Tratamento De Água E Efluentes,14,1901.4
Cabreúva,,Gerente De Restaurante,14,3381.95
Porto Feliz,,Operador De Máquina De Fabricar Papel (Fase Seca),14,2540.84
Porto Feliz,,Supervisor De Recepcionistas,14,2177.02
Piedade,,Pedreiro,14,1776.88
Araçariguama,,"Bordador, À Máquina",14,1812.99
Americana,,"Supervisor Da Confecção De Artefatos De Tecidos, Couros E Afins",14,3665.13
Americana,,Catador De Material Reciclável,14,1259.17
Araçoiaba da Serra,,Eletricista De Manutenção Eletroeletrônica,14,2789.8
Itu,,Auxiliar De Veterinário,14,1461.84
Cabreúva,,Cuidador Em Saúde,14,1839.49
Itapetininga,,Analista De Logistica,14,2839.71
Piedade,,Motorista De Furgão Ou Veículo Similar,14,1939.3
Charqueada,,Operador De Colheitadeira,14,3130.88
Americana,,Técnico Em Farmácia,14,2269.15
Pindamonhangaba,,Operador De Máquina De Envasar Líquidos,14,2379.06
Araçatuba,,Professor De Ensino Superior Na Área De Prática De Ensino,14,2587.51
Porto Feliz,,Trabalhador Na Produção De Mudas E Sementes,14,1489.07
Macatuba,,Almoxarife,14,2100.15
Itu,,Técnico Eletricista,14,2719.8
Araçatuba,,Professor De Contabilidade,14,4137.41
Itapetininga,,Orientador Educacional,14,2908.8
Araçariguama,,Forneiro E Operador (Alto-Forno),14,4697.98
Araçoiaba da Serra,,Carregador (Armazém),14,1533.55
Araçatuba,,Masseiro (Massas Alimentícias),14,1765.62
Boituva,,Caixa De Banco,14,3614.18
Cabreúva,,Economista Financeiro,14,5434.72
Itu,,Técnico De Laboratório Industrial,14,2891.34
Itu,,Professor De Disciplinas Pedagógicas No Ensino Médio,14,2433.05
Itapeva,,Professor De Educação Física No Ensino Superior,14,1409.04
Cerquilho,,Mecânico De Manutenção E Instalação De Aparelhos De Climatização E  Refrigeração,14,1638.4
Itupeva,,Engenheiro Eletrônico,14,10675.13
Ibiúna,,Serralheiro,14,1589.38
Araçatuba,,Gerente De Marketing,14,4944.86
Itapeva,,Mecânico De Manutenção De Motocicletas,14,1501.87
Itupeva,,Agente De Portaria,14,1658.2
Ibiúna,,Controlador De Entrada E Saída,14,1894.72
Araçariguama,,Padeiro,14,2411.44
Araçariguama,,Prensista (Operador De Prensa),14,2308.63
Cabreúva,,Cirurgião Dentista De Saúde Coletiva,14,7580.53
Itapetininga,,Expedidor De Mercadorias,14,2269.65
Americana,,Operador De Telemarketing Técnico,14,1409.76
Itupeva,,Químico,14,14073.84
Itapetininga,,Trabalhador De Fabricação De Sorvete,14,1446.15
Boituva,,Gerente De Compras,14,12243.4
Dourado,,Professor De Alunos Com Deficiência Múltipla,14,3618.07
Itu,,Engenheiro Mecânico,13,9413.99
Boituva,,Marmorista (Construção),13,2162.64
Cerquilho,,Comerciante Varejista,13,2266.67
Araçariguama,,Pintor De Obras,13,2052.99
Americana,,Agente De Saúde Pública,13,4544.65
Americana,,Monitor De Sistemas Eletrônicos De Segurança Externo,13,1520.7
Araçoiaba da Serra,,Operador De Máquinas De Beneficiamento De Produtos Agrícolas,13,1917.4
Itu,,Telefonista,13,1757.11
Araçatuba,,Professor De Nutrição,13,5676.25
Americana,,Operador De Máquina De Cordoalha,13,1663.52
Dourado,,Supervisor De Vendas Comercial,13,8713.66
Pindamonhangaba,,Auxiliar De Produção Farmacêutica,13,2839.96
Itapeva,,Instalador De Tubulações,13,4971.12
Araçatuba,,Mestre De Usinagem,13,5403.08
Porto Feliz,,Auxiliar Em Saúde Bucal,13,1556.8
Itu,,Instalador-Reparador De Equipamentos De Comutação Em Telefonia,13,2048.45
Pindamonhangaba,,Auxiliar De Laboratório De Análises Clínicas,13,2108.48
Pindamonhangaba,,Operador De Aciaria (Dessulfuração De Gusa),13,5181.01
Itapetininga,,Professor De Educação Física Do Ensino Fundamental,13,1543.33
Araçariguama,,Cuidador De Idosos,13,1560.45
Porto Feliz,,Carteiro,13,3527.23
Piedade,,Escrevente,13,2574.38
Cerquilho,,Tecnólogo Em Produção Industrial,13,5797.72
Piedade,,Educador Social,13,2006.69
Araçatuba,,Operador De Trator Florestal,13,1889.67
Americana,,Tratador De Animais,13,2388.11
Itapeva,,Promotor De Vendas,13,1732.24
Boituva,,Galvanizador,13,2566.4
Araçatuba,,Eletrotécnico,13,2070.08
Boituva,,Técnico De Manutenção Eletrônica (Circuitos De Máquinas Com Comando Numérico),13,3655.7
Cerquilho,,Analista De Recursos Humanos,13,4847.39
Itu,,Diretor De Arte (Publicidade),13,3346.63
Porto Feliz,,Caseiro (Agricultura),13,1589.98
Pindamonhangaba,,Telefonista,13,2127.94
Araçatuba,,Editor De Texto E Imagem,13,2307.19
Cabreúva,,Mestre (Construção Civil),13,4155.51
Itapeva,,Amostrador De Minérios,13,2422.66
Americana,,Professor De Língua E Literatura Brasileira No Ensino Médio,13,2142.97
Macatuba,,"Operador De Utilidade (Produção E Distribuição De Vapor, Gás, Óleo, Combustível, Energia, Oxigênio)",13,2550.26
Itu,,Operador De Telemarketing Técnico,13,1442.35
Itupeva,,Fiscal De Loja,13,1818.27
Porto Feliz,,Professor De Nível Médio Na Educação Infantil,13,1834.3
Araçatuba,,Operador Eletromecânico,13,3826.46
Araçatuba,,Barman,13,1567.46
Macatuba,,"Operador De Produção (Química, Petroquímica E Afins)",13,3482.88
Itapeva,,Mestre (Construção Civil),13,2576.49
Araçoiaba da Serra,,Motofretista,13,1637.63
Itapeva,,Contínuo,13,1311.03
Boituva,,Supervisor De Tesouraria,13,7136.43
Itapeva,,Inspetor De Qualidade,13,3974.92
Araçariguama,,Guincheiro (Construção Civil),13,2830.34
Araçatuba,,Atendente De Enfermagem,13,1793.1
Americana,,Operador De Serras (Usinagem De Madeira),13,1915.49
Itapetininga,,Catador De Material Reciclável,13,1141.18
Araçatuba,,Alinhador De Pneus,13,1951.84
Cabreúva,,Carpinteiro De Obras,13,2474.79
Itupeva,,Analista De Pcp (Programação E Controle Da Produção),13,3651.06
Itapetininga,,Operador De Máquinas Operatrizes,13,1981.9
Porto Feliz,,Auxiliar De Farmácia De Manipulação,13,1592.67
Charqueada,,Frentista,13,2206.76
Itu,,Governanta De Hotelaria,13,2457.79
Cabreúva,,Instrutor De Auto-Escola,13,2442.51
Araçatuba,,Churrasqueiro,13,1942.11
Porto Feliz,,Técnico Mecânico (Máquinas),13,8271.69
Cerquilho,,Contramestre De Acabamento (Indústria Têxtil),13,2183.6
Porto Feliz,,Analista De Pcp (Programação E Controle Da Produção),13,7586.23
Cabreúva,,"Eletricista De Instalações (Veículos Automotores E Máquinas Operatrizes, Exceto Aeronaves E Embarcações)",13,2406.99
Porto Feliz,,"Eletrotécnico Na Fabricação, Montagem E Instalação De Máquinas E Equipamentos",13,7777.85
Itu,,Agenciador De Propaganda,13,1479.78
Itupeva,,Técnico Em Atendimento E Vendas,13,2800.2
Americana,,Professor De História Do Ensino Fundamental,13,2684.13
Itupeva,,Balanceiro,13,2121.63
Itupeva,,Metrologista,13,4897.2
Americana,,Operador De Máquina De Etiquetar,13,1695.46
Ibiúna,,Carteiro,13,4399.45
Porto Feliz,,Contínuo,13,1720.41
Araçatuba,,Agente De Segurança,13,2378.54
Itu,,Diretor Financeiro,13,24844.91
Araçatuba,,Catador De Material Reciclável,13,1656.32
Itu,,Encarregado Geral De Operações De Conservação De Vias Permanentes (Exceto Trilhos),13,3339.02
Itupeva,,Técnico De Matéria-Prima E Material,13,6090.61
Cabreúva,,Gerente De Compras,13,8342.24
Porto Feliz,,Operador De Acabamento (Indústria Gráfica),13,1465.68
Pindamonhangaba,,Inspetor De Alunos De Escola Pública,13,1565.19
Dourado,,Controlador De Entrada E Saída,13,4196.99
Boituva,,Operador De Caldeira,13,4077.15
Itu,,Montador De Veículos (Reparação),13,2677.62
Pindamonhangaba,,Locutor De Mídias Audiovisuais,13,1811.41
Macatuba,,Passador De Roupas Em Geral,13,1327.79
Americana,,Técnico Em Instalação De Equipamentos De Áudio,13,1961.71
Itapeva,,Gerente De Produção E Operações Agropecuárias,13,5580.69
Itapetininga,,Trabalhador Da Elaboração De Pré-Fabricados (Cimento Amianto),13,1430.41
Itu,,Gerente De Serviços De Saúde,13,6949.63
Boituva,,Técnico Químico,13,3812.24
Cabreúva,,Ceramista,13,1630.31
Araçariguama,,Serralheiro,13,2329.59
Americana,,Encarregado Geral De Operações De Conservação De Vias Permanentes (Exceto Trilhos),13,2750.44
Araçoiaba da Serra,,Administrador,13,5108.56
Americana,,Administrador De Redes,13,3339.47
Itapeva,,Operador De Caldeira,13,2752.16
Americana,,Operador De Guindaste (Fixo),13,3941.34
Itapetininga,,Supervisor De Exploração Pecuária,13,3289.47
Araçoiaba da Serra,,Trabalhador Volante Da Agricultura,13,1482.06
Itapetininga,,Auxiliar De Veterinário,13,1411.22
Araçariguama,,Gerente Financeiro,13,6522.75
Araçariguama,,Encarregado De Manutenção Mecânica De Sistemas Operacionais,13,5967.21
Itapetininga,,Impressor De Ofsete (Plano E Rotativo),13,2508.97
Boituva,,"Eletricista De Manutenção De Linhas Elétricas, Telefônicas E De Comunicação De Dados",13,4079.64
Itu,,Pedreiro De Edificações,13,2088.58
Itapetininga,,Telefonista,13,1781.01
Dourado,,Garçom,13,1904.46
Boituva,,Instalador De Tubulações,13,5877.25
Itu,,Biomédico,13,3234.11
Cabreúva,,"Trefilador De Metais, À Máquina",13,1917.54
Araçatuba,,Cabeleireiro,13,1626.97
Itu,,Laminador De Plástico,13,3091.98
Americana,,Diretor Comercial,13,23734.93
Boituva,,Gerente Financeiro,13,8192.42
Porto Feliz,,Mecânico De Veículos Automotores A Diesel (Exceto Tratores),13,2506.02
Porto Feliz,,Escrevente,13,6315.7
Itapeva,,Gerente Financeiro,13,3021.11
Araçatuba,,Terapeuta Ocupacional,13,3084.03
Porto Feliz,,Camareiro  De Hotel,13,1888.53
Cabreúva,,Garagista,13,3413.22
Araçatuba,,Mestre (Indústria De Madeira E Mobiliário),13,2793.65
Itapetininga,,Banhista De Animais Domésticos,13,1136.46
Cabreúva,,Mecânico De Manutenção E Instalação De Aparelhos De Climatização E  Refrigeração,13,5657.6
Pindamonhangaba,,Mecânico De Manutenção E Instalação De Aparelhos De Climatização E  Refrigeração,13,2343.05
Porto Feliz,,Cirurgião Dentista De Saúde Coletiva,13,5867.34
Itapeva,,Agente Funerário,13,2511.16
Araçariguama,,Supervisor De Carga E Descarga,13,9206.17
Itupeva,,Supervisor De Tesouraria,13,7036.55
Pindamonhangaba,,Operador De Talha Elétrica,13,2106.95
Boituva,,Conferente De Carga E Descarga,13,2365.69
Porto Feliz,,Modelista De Roupas,13,4751.72
Pindamonhangaba,,"Salsicheiro (Fabricação De Lingüiça, Salsicha E Produtos Similares)",13,1478.1
Cabreúva,,Estoquista,13,1734.48
Pindamonhangaba,,Médico Do Trabalho,13,9083.14
Araçatuba,,"Supervisor De Operação De Fluidos (Distribuição, Captação, Tratamento De Água, Gases, Vapor)",13,6009.94
Itapetininga,,Gerente De Produção E Operações Agropecuárias,13,9213.56
Cerquilho,,Operador De Telemarketing Técnico,13,3461.18
Boituva,,Operador De Máquinas De Construção Civil E Mineração,13,2539.71
Araçatuba,,Diretor De Instituição Educacional Da Área Privada,13,9089.32
Cabreúva,,Mecânico De Veículos Automotores A Diesel (Exceto Tratores),13,2525.44
Pindamonhangaba,,Cartazeiro,13,1580.4
Americana,,Operador De Cortadeira De Papel,13,2130.19
Itapetininga,,Psicólogo Social,13,2737.44
Boituva,,Desenhista Técnico,13,3013.49
Araçoiaba da Serra,,Operador De Estação De Tratamento De Água E Efluentes,13,2514.56
Cerquilho,,Montador De Máquinas,13,1896.89
Porto Feliz,,Operador De Caminhão (Minas E Pedreiras),13,2664.79
Pindamonhangaba,,Técnico De Matéria-Prima E Material,13,4848.03
Cerquilho,,Analista De Pesquisa De Mercado,13,4390.19
Itapeva,,Agente De Portaria,13,1860.53
Araçoiaba da Serra,,Trabalhador Da Pecuária (Bovinos Corte),13,1450.33
Porto Feliz,,Impressor De Corte E Vinco,13,2685.29
Americana,,Afiador De Cutelaria,13,2195.81
Itapetininga,,Professor De Antropologia Do Ensino Superior,13,1328.1
Araçatuba,,Instrumentador Cirúrgico,13,1998.83
Charqueada,,Pesquisador Em Química,13,3379.37
Americana,,Operador De Retificadora Com Comando Numérico,13,3408.45
Dourado,,Professor De Nível Superior Do Ensino Fundamental (Primeira A Quarta Série),13,4065
Itu,,Professor De Matemática No Ensino Médio,13,3109.09
Americana,,Professor De Alunos Com Deficiência Mental,13,2576.49
Cerquilho,,Estoquista,13,2127.71
Porto Feliz,,Contramestre De Acabamento (Indústria Têxtil),13,2238.58
Itapetininga,,Técnico Em Patologia Clínica,12,2096.07
Piedade,,Carteiro,12,3411.81
Pindamonhangaba,,Agente Funerário,12,2154.13
Cerquilho,,Técnico Eletrônico,12,3624.14
Macatuba,,Montador De Andaimes (Edificações),12,1502.59
Porto Feliz,,Operador De Rebobinadeira Na Fabricação De Papel E Papelão,12,2869.34
Itu,,Auxiliar De Biblioteca,12,1671.99
Itu,,Bombeiro Civil,12,2177.44
Americana,,Professor De Física No Ensino Médio,12,3329.73
Itupeva,,Instalador De Tubulações,12,4274.06
Itupeva,,Condutor De Processos Robotizados De Pintura,12,2632.84
Dourado,,Armazenista,12,1571.46
Piedade,,Trefilador De Borracha,12,1954.43
Itupeva,,Socorrista (Exceto Médicos E Enfermeiros),12,1942.11
Itu,,Técnico De Manutenção De Sistemas E Instrumentos,12,2465.55
Americana,,"Confeccionador De Bolsas, Sacos E Sacolas E Papel, A Máquina",12,2619.55
Pindamonhangaba,,Fonoaudiólogo Geral,12,3997.86
Porto Feliz,,Vigilante,12,2464.11
Araçatuba,,Cronoanalista,12,3780.12
Araçatuba,,Professor De Ensino Superior Na Área De Didática,12,2378.83
Itu,,Montador De Equipamentos Eletrônicos (Aparelhos Médicos),12,1707.06
Itupeva,,Operador De Processos Químicos E Petroquímicos,12,2710.64
Itu,,Encarregado De Equipe De Conservação De Vias Permanentes (Exceto Trilhos),12,2557.85
Itapeva,,Biomédico,12,3483.81
Itu,,Caminhoneiro Autônomo (Rotas Regionais E Internacionais),12,2538.51
Itu,,Montador De Equipamentos Elétricos,12,2664.21
Cabreúva,,Supervisor De Almoxarifado,12,5572.57
Itu,,Diretor De Instituição Educacional Da Área Privada,12,6685.02
Itu,,Desenhista Projetista De Arquitetura,12,2694.9
Pindamonhangaba,,Mestre De Produção Química,12,5172.29
Americana,,Tecelão (Tear Jacquard),12,2956.63
Itu,,Operador De Centro De Controle (Ferrovia E Metrô),12,3050.08
Porto Feliz,,Técnico De Comunicação De Dados,12,1269.49
Araçatuba,,Biólogo,12,3676.59
Itu,,Nutricionista,12,2613.29
Pindamonhangaba,,Encanador,12,2742.29
Itu,,Reparador De Aparelhos Eletrodomésticos (Exceto Imagem E Som),12,2046.01
Piedade,,Gerente De Vendas,12,6886.49
Americana,,Operador De Máquina De Usinagem De Madeira (Produção Em Série),12,1837.45
Itapetininga,,Tosador De Animais Domésticos,12,1372.31
Itapetininga,,Gesseiro,12,1474.47
Piedade,,Técnico Em Radiologia E Imagenologia,12,3470.02
Dourado,,Operador De Máquinas De Beneficiamento De Produtos Agrícolas,12,2009.35
Cabreúva,,Técnico De Planejamento E Programação Da Manutenção,12,5374.45
Itu,,Técnico De Manutenção Elétrica De Máquina,12,3785.23
Itu,,Catador De Material Reciclável,12,1433.08
Americana,,Auxiliar Técnico Em Laboratório De Farmácia,12,1784.98
Americana,,Cozinheiro De Hospital,12,1765.3
Pindamonhangaba,,Desenhista Projetista Mecânico,12,4055.07
Macatuba,,Cuidador De Idosos,12,1602.18
Itapeva,,Carpinteiro,12,1515.33
Boituva,,"Supervisor De Manutenção Eletromecânica Industrial, Comercial E Predial",12,5258.15
Americana,,Chefe De Bar,12,2343.87
Itapeva,,Operador De Central Hidrelétrica,12,4627.09
Piedade,,Eletricista De Instalações,12,2024.6
Cabreúva,,Soldador A  Oxigás,12,3235.74
Cabreúva,,Coordenador Pedagógico,12,5251.67
Piedade,,Trançador De Cabos De Aço,12,2572.44
Itupeva,,Pizzaiolo,12,1959.31
Araçatuba,,Mestre De Produção Química,12,5260.63
Pindamonhangaba,,Agente De Saúde Pública,12,3522.84
Ibiúna,,Operador De Telemarketing Receptivo,12,1174.29
Araçatuba,,Atleta Profissional (Outras Modalidades),12,1023.42
Charqueada,,Pedreiro,12,1740.95
Itapetininga,,Desenvolvedor De Sistemas De Tecnologia Da Informação (Técnico),12,3230.1
Piedade,,Lavador De Veículos,12,1531.72
Araçatuba,,Professor De Educação Física Do Ensino Fundamental,12,2336.76
Cabreúva,,Operador De Centro De Usinagem Com Comando Numérico,12,3788.03
Americana,,Instrutor De Vôo,12,1819.39
Piedade,,Servente De Obras,12,1334.8
Americana,,"Tecelão (Tear Mecânico, Exceto Jacquard)",12,2561.85
Itapetininga,,Técnico Em Secretariado,12,1629.34
Porto Feliz,,Técnico Em Manutenção De Equipamentos De Informática,12,2939.82
Cabreúva,,Engenheiro Civil,12,7271.77
Araçatuba,,Mecânico De Manutenção De Máquinas-Ferramentas (Usinagem De Metais),12,2633.3
Porto Feliz,,Enfermeiro Da Estratégia De Saúde Da Família,12,6243.45
Pindamonhangaba,,Técnico Em Eletromecânica,12,3020.57
Pindamonhangaba,,"Costureiro, A  Máquina  Na Confecção Em Série",12,1443.02
Porto Feliz,,Gerente De Recursos Humanos,12,11875.98
Pindamonhangaba,,Biomédico,12,3631.3
Itapeva,,Técnico Eletrônico,12,1480.05
Cabreúva,,Operador De Escavadeira,12,2534.2
Cerquilho,,Técnico De Matéria-Prima E Material,12,3729.92
Americana,,"Instalador De Material Isolante, A Mão (Edificações)",12,2171.84
Itu,,Afiador De Ferramentas,12,4879.27
Itapeva,,Operador De Serras No Desdobramento De Madeira,12,1555.31
Americana,,Mecânico De Manutenção De Motocicletas,12,2528.02
Itapetininga,,Lubrificador De Veículos Automotores (Exceto Embarcações),12,2099.71
Araçariguama,,Operador De Caldeira,12,3037.46
Cabreúva,,Caldeireiro (Chapas De Ferro E Aço),12,4331.69
Charqueada,,Servente De Obras,12,1542.81
Boituva,,Professor De Nível Médio Na Educação Infantil,12,1410.8
Charqueada,,Atendente De Farmácia - Balconista,12,2482.69
Dourado,,Atendente De Lojas E Mercados,12,1636.7
Boituva,,Orientador Educacional,12,3180.17
Americana,,Cartazeiro,12,1941.65
Itu,,Agente Funerário,12,3150.23
Boituva,,Gestor Em Segurança,12,7608.01
Porto Feliz,,Gerente Financeiro,12,14655.91
Itupeva,,Supervisor De Orçamento,12,7631.68
Americana,,Engenheiro De Segurança Do Trabalho,12,10539.36
Porto Feliz,,"Técnico De Utilidade (Produção E Distribuição De Vapor, Gases, Óleos, Combustíveis, Energia)",12,12233.97
Itapeva,,Professor De Língua Portuguesa Do Ensino Fundamental,12,1622.88
Araçatuba,,Cobrador Externo,12,2170.53
Cabreúva,,Analista De Negócios,12,5666.55
Araçatuba,,Professor De Matemática No Ensino Médio,12,2158.2
Itapetininga,,Operador De Instalação De Refrigeração,12,2660.43
Cabreúva,,Brasador,12,2446.91
Porto Feliz,,Técnico Eletrônico,12,9169.49
Charqueada,,Operador De Máquinas-Ferramenta Convencionais,12,3119.84
Macatuba,,Farmacêutico,12,3593.43
Cabreúva,,Gerente De Pesquisa E Desenvolvimento (P&D),12,11358.71
Americana,,Moldador De Plástico Por Compressão,12,2209.7
Pindamonhangaba,,Técnico Em Secretariado,12,1809.27
Itapetininga,,Copeiro De Hospital,12,1478.45
Americana,,Mestre (Indústria De Borracha E Plástico),12,4456.66
Cerquilho,,Lavador De Veículos,12,2262.61
Pindamonhangaba,,Engenheiro Eletricista,12,13549.35
Araçoiaba da Serra,,Copeiro,12,1535.57
Pindamonhangaba,,Gerente De Marketing,12,15623.36
Araçoiaba da Serra,,Supervisor De Exploração Agrícola,12,2608.34
Araçatuba,,Controlador De Pragas,12,1992.8
Itapeva,,Advogado,12,4043.94
Porto Feliz,,Controlador De Entrada E Saída,12,2580.37
Araçoiaba da Serra,,Instrutor De Auto-Escola,12,1906.22
Cabreúva,,Zelador De Edifício,12,2006.81
Itapeva,,Professor De Nível Médio Na Educação Infantil,12,2318.9
Americana,,Tecelão (Tear Mecânico Liso),12,1822.48
Boituva,,Armador De Estrutura De Concreto,12,1971.89
Charqueada,,"Lavadeiro, Em Geral",12,1289.44
Pindamonhangaba,,Editor De Mídia Audiovisual,12,2957.04
Itu,,Redator De Publicidade,12,1994.89
Pindamonhangaba,,Professor De Química No Ensino Médio,12,2024.45
Boituva,,Professor De Disciplinas Pedagógicas No Ensino Médio,12,2956.18
Americana,,Laboratorista Fotográfico,12,2740.44
Itupeva,,Operador De Refrigeração Com Amônia,12,3690.17
Itapetininga,,Digitador,12,2160.19
Charqueada,,Almoxarife,12,2707.62
Ibiúna,,Técnico De Telecomunicações (Telefonia),12,1699.35
Pindamonhangaba,,Engenheiro Mecânico (Energia Nuclear),12,14186.51
Araçariguama,,Vigilante,12,2257.41
Cabreúva,,Prensista De Compensados,12,1532.79
Itu,,Técnico Em Borracha,12,2741.6
Cerquilho,,Operador De Pá Carregadeira,12,2570.13
Americana,,Maître,12,2468.83
Araçoiaba da Serra,,Estoquista,12,2129.3
Itapetininga,,Agenciador De Propaganda,12,5191.71
Americana,,Limpador De Piscinas,12,1897.07
Boituva,,Eletricista De Instalações,12,2346.04
Porto Feliz,,Caldeireiro (Chapas De Ferro E Aço),12,3462.2
