nome_municipio,nome_profissao,total_trabalhadores,salario_medio
Americana,"Instalador De Material Isolante, A Mão (Edificações)",12,2171.84
Itapetininga,Professor De Direito Do Ensino Superior,12,4130.13
Dourado,Limpador De Piscinas,12,1780.62
Piedade,Lavador De Veículos,12,1531.72
Itapeva,Operador De Serras No Desdobramento De Madeira,12,1555.31
Cabreúva,Técnico De Planejamento E Programação Da Manutenção,12,5374.45
Itupeva,Auxiliar De Laboratório De Análises Clínicas,12,1721.87
Pindamonhangaba,Editor De Mídia Audiovisual,12,2957.04
Araçatuba,Dirigente De Entidade De Trabalhadores,12,5845.35
Itu,Técnico Em Borracha,12,2741.6
Porto Feliz,Operador De Rebobinadeira Na Fabricação De Papel E Papelão,12,2869.34
Piedade,Eletricista De Instalações,12,2024.6
Itu,Bombeiro Civil,12,2177.44
Araçatuba,Mestre De Produção Química,12,5260.63
Cabreúva,Engenheiro Civil,12,7271.77
Americana,Operador De Máquina De Usinagem De Madeira (Produção Em Série),12,1837.45
Araçatuba,Operador De Mensagens De Telecomunicações (Correios),12,4026.74
Araçatuba,Socorrista (Exceto Médicos E Enfermeiros),12,3175.89
Charqueada,Operador De Máquinas-Ferramenta Convencionais,12,3119.84
Itu,Desenhista Projetista De Máquinas,12,4643.96
Itu,Encarregado De Equipe De Conservação De Vias Permanentes (Exceto Trilhos),12,2557.85
Boituva,"Supervisor De Manutenção Eletromecânica Industrial, Comercial E Predial",12,5258.15
Itapetininga,Agenciador De Propaganda,12,5191.71
Itupeva,Operador De Refrigeração Com Amônia,12,3690.17
Cabreúva,Operador De Máquina Misturadeira (Tratamentos Químicos E Afins),12,2464.67
Araçariguama,Operador De Máquina Misturadeira (Tratamentos Químicos E Afins),12,3084.13
Cabreúva,Analista De Pesquisa De Mercado,12,3291.52
Charqueada,"Lavadeiro, Em Geral",12,1289.44
Cabreúva,Brasador,12,2446.91
Cerquilho,Professor De Ciências Exatas E Naturais Do Ensino Fundamental,12,4369.16
Americana,Chefe De Bar,12,2343.87
Araçatuba,Trabalhador De Tratamento Do Leite E Fabricação De Laticínios E Afins,12,3063.84
Araçatuba,Atleta Profissional (Outras Modalidades),12,1023.42
Araçatuba,Professor De Educação Física Do Ensino Fundamental,12,2336.76
Cabreúva,Porteiro (Hotel),12,1721.44
Itapetininga,Lubrificador De Veículos Automotores (Exceto Embarcações),12,2099.71
Americana,Laboratorista Fotográfico,12,2740.44
Araçatuba,Agente De Portaria,12,1376.75
Pindamonhangaba,Técnico Em Eletromecânica,12,3020.57
Araçoiaba da Serra,Supervisor De Exploração Agrícola,12,2608.34
Piedade,Gerente De Vendas,12,6886.49
Itapeva,Advogado,12,4043.94
Cabreúva,Prensista De Compensados,12,1532.79
Americana,Engenheiro De Segurança Do Trabalho,12,10539.36
Dourado,Operador De Máquinas De Beneficiamento De Produtos Agrícolas,12,2009.35
Itapeva,Nutricionista,12,4304.62
Itapetininga,Gerente De Logística (Armazenagem E Distribuição),12,6139.24
Cabreúva,Zelador De Edifício,12,2006.81
Porto Feliz,Vigilante,12,2464.11
Cerquilho,Garçom,12,1547.09
Piedade,Trefilador De Borracha,12,1954.43
Itu,Reparador De Aparelhos Eletrodomésticos (Exceto Imagem E Som),12,2046.01
Itu,"Operador De Estação De Captação, Tratamento E Distribuição De Água",12,2959.29
Araçoiaba da Serra,Estoquista,12,2129.3
Araçatuba,Cronoanalista,12,3780.12
Araçatuba,Rebarbador De Metal,12,2759.83
Itupeva,Instalador De Tubulações,12,4274.06
Cerquilho,Técnico De Matéria-Prima E Material,12,3729.92
Itu,Operador Eletromecânico,12,2788.26
Americana,Instrutor De Vôo,12,1819.39
Cerquilho,Técnico Eletrônico,12,3624.14
Cerquilho,Carteiro,12,4418.12
Cerquilho,Operador De Pá Carregadeira,12,2570.13
Americana,Tecelão (Tear Mecânico Liso),12,1822.48
Americana,Auxiliar Técnico Em Laboratório De Farmácia,12,1784.98
Charqueada,Atendente De Farmácia - Balconista,12,2482.69
Itu,Temperador De Metais E De Compósitos,12,7556.14
Araçariguama,Despachante De Transportes Coletivos (Exceto Trem),12,1463.33
Cabreúva,Técnico De Vendas,12,5342.66
Pindamonhangaba,"Costureiro, A  Máquina  Na Confecção Em Série",12,1443.02
Pindamonhangaba,Operador De Pá Carregadeira,12,3345.25
Araçoiaba da Serra,Mãe Social,12,2055.7
Dourado,Atendente De Lojas E Mercados,12,1636.7
Charqueada,Almoxarife,12,2707.62
Piedade,Técnico Em Radiologia E Imagenologia,12,3470.02
Americana,Maître,12,2468.83
Cabreúva,Soldador A  Oxigás,12,3235.74
Itu,Selecionador De Material Reciclável,12,1640.16
Porto Feliz,Técnico De Comunicação De Dados,12,1269.49
Americana,Cozinheiro De Hospital,12,1765.3
Americana,"Operador De Sala De Controle De Instalações Químicas, Petroquímicas E Afins",12,6142.67
Araçariguama,Analista De Transporte Em Comércio Exterior,12,5498.68
Macatuba,"Mecânico De Manutenção De Automóveis, Motocicletas E Veículos Similares",12,2853.04
Charqueada,Cozinheiro Geral,12,1419.25
Itu,Desenhista Técnico,12,3500.33
Pindamonhangaba,Mestre De Produção Química,12,5172.29
Americana,Técnico De Controle De Meio Ambiente,12,3629.98
Pindamonhangaba,Fonoaudiólogo Geral,12,3997.86
Piedade,Expedidor De Mercadorias,12,1646.48
Piedade,Coordenador Pedagógico,12,4302.85
Pindamonhangaba,Agente De Saúde Pública,12,3522.84
Araçatuba,Controlador De Pragas,12,1992.8
Pindamonhangaba,Desenhista Projetista Mecânico,12,4055.07
Itapeva,Técnico Eletrônico,12,1480.05
Araçoiaba da Serra,Instrutor De Auto-Escola,12,1906.22
Araçatuba,Professor De Matemática No Ensino Médio,12,2158.2
Itupeva,Pizzaiolo,12,1959.31
Itapetininga,Tosador De Animais Domésticos,12,1372.31
Pindamonhangaba,Técnico Eletrônico,12,3335.36
Piedade,Carteiro,12,3411.81
Pindamonhangaba,Técnico Em Secretariado,12,1809.27
Pindamonhangaba,Funileiro De Veículos (Reparação),12,2101.47
Pindamonhangaba,Agente Funerário,12,2154.13
Ibiúna,Técnico De Telecomunicações (Telefonia),12,1699.35
Piedade,Auxiliar Em Saúde Bucal,12,1531.17
Araçatuba,Professor De Ensino Superior Na Área De Didática,12,2378.83
Macatuba,Montador De Andaimes (Edificações),12,1502.59
Itu,Afiador De Ferramentas,12,4879.27
Itapetininga,Trabalhador Da Cultura De Milho E Sorgo,12,1387.02
Itupeva,Socorrista (Exceto Médicos E Enfermeiros),12,1942.11
Pindamonhangaba,Gerente De Compras,12,13680.68
Itupeva,Supervisor De Orçamento,12,7631.68
Cerquilho,Técnico Em Manutenção De Equipamentos De Informática,12,2170.05
Itapeva,Agente De Combate Às Endemias,12,2009.39
Macatuba,Auxiliar De Enfermagem,12,2659.41
Itapetininga,Gesseiro,12,1474.47
Macatuba,Cuidador De Idosos,12,1602.18
Cabreúva,Operador De Centro De Usinagem Com Comando Numérico,12,3788.03
Cabreúva,Coordenador Pedagógico,12,5251.67
Araçatuba,Técnico De Tributos Estadual,12,10157.67
Macatuba,Revisor De Tecidos Acabados,12,1223.37
Americana,Professor De História No Ensino Médio,12,2127.99
Itapetininga,Músico Regente,12,1948.75
Itapetininga,Copeiro De Hospital,12,1478.45
Itapetininga,Técnico De Saneamento,12,2288.4
Macatuba,Assistente Social,12,5016.39
Itu,Catador De Material Reciclável,12,1433.08
Americana,Mecânico De Manutenção De Motocicletas,12,2528.02
Itu,Auxiliar De Biblioteca,12,1671.99
Araçoiaba da Serra,"Embalador, A Máquina",12,1678.14
Cerquilho,Promotor De Vendas Especializado,12,7339.96
Cerquilho,Marmorista (Construção),12,2175.06
Porto Feliz,Caldeireiro (Chapas De Ferro E Aço),12,3462.2
Itapetininga,Técnico Em Patologia Clínica,12,2096.07
Boituva,Professor De Nível Médio Na Educação Infantil,12,1410.8
Itu,Desenhista Projetista De Arquitetura,12,2694.9
Dourado,Armazenista,12,1571.46
Itu,Montador De Equipamentos Elétricos,12,2664.21
Pindamonhangaba,Gerente De Marketing,12,15623.36
Pindamonhangaba,Engenheiro Eletricista,12,13549.35
Porto Feliz,Propagandista De Produtos Famacêuticos,12,5148.58
Boituva,Gestor Em Segurança,12,7608.01
Boituva,Contínuo,12,1655.71
Americana,Professor De Física No Ensino Médio,12,3329.73
Itapetininga,Técnico De Telecomunicações (Telefonia),12,4475.15
Boituva,Conferente Mercadoria (Exceto Carga E Descarga),12,2246.58
Itapeva,Biomédico,12,3483.81
Itapeva,Operador De Central Hidrelétrica,12,4627.09
Itapetininga,Técnico Em Secretariado,12,1629.34
Itu,Técnico De Manutenção De Sistemas E Instrumentos,12,2465.55
Cabreúva,Analista De Negócios,12,5666.55
Americana,Arquiteto De Edificações,12,5898.09
Itupeva,Médico Clínico,12,9000.8
Itapeva,Professor De Nível Médio Na Educação Infantil,12,2318.9
Araçatuba,Topógrafo,12,3151.8
Araçoiaba da Serra,Copeiro,12,1535.57
Cerquilho,Impressor Digital,11,1575.92
Cerquilho,Lubrificador Industrial,11,1403.69
Pindamonhangaba,Professor De Língua E Literatura Brasileira No Ensino Médio,11,1859.16
Americana,Professor De Educação Física No Ensino Superior,11,2127.18
Porto Feliz,Técnico De Manutenção Eletrônica,11,3443.76
Porto Feliz,Marcador De Produtos (Siderúrgico E Metalúrgico),11,2342.14
Pindamonhangaba,Auxiliar De Veterinário,11,1739.09
Macatuba,Forneiro (Materiais De Construção),11,1169.88
Ibiúna,Agente De Defesa Ambiental,11,2198.14
Itupeva,Supervisor De Vendas De Serviços,11,4325.65
Itapetininga,Corretor De Imóveis,11,2159.36
Pindamonhangaba,Pintor A Pincel E Rolo (Exceto Obras E Estruturas Metálicas),11,2447.36
Pindamonhangaba,Técnico De Alimentos,11,2342.95
Araçatuba,Farmacêutico Analista Clínico,11,3520.46
Macatuba,Gerente De Loja E Supermercado,11,2878.37
Charqueada,Coordenador Pedagógico,11,3731.92
Americana,Administrador Em Segurança Da Informação,11,4660.44
Itu,Impressor De Corte E Vinco,11,2921.24
Americana,Técnico De Imobilização Ortopédica,11,2489.75
Pindamonhangaba,Analista De Exportação E Importação,11,6355.99
Cerquilho,Operador De Usinagem Convencional Por Abrasão,11,4462.25
Cerquilho,Técnico Em Secretariado,11,1410.51
Itu,Manicure/Pedicure,11,1704.43
Porto Feliz,Moldador De Borracha Por Compressão,11,792.42
Charqueada,Inspetor De Qualidade,11,2363.29
Pindamonhangaba,Engenheiro De Segurança Do Trabalho,11,9620.06
Itapetininga,Preparador De Estruturas Metálicas,11,1812.27
Araçoiaba da Serra,Analista De Recursos Humanos,11,3474.73
Boituva,Cronoanalista,11,3630.18
Charqueada,Calandrista De Borracha,11,2668.25
Araçatuba,Lavador De Roupas  A Maquina,11,1822.57
Boituva,Operador De Processos Químicos E Petroquímicos,11,2353.7
Cerquilho,Caixa De Banco,11,3429.48
Cerquilho,Carpinteiro,11,2057.69
Americana,Operador De Fresadora Com Comando Numérico,11,3573.4
Ibiúna,Professor De Disciplinas Pedagógicas No Ensino Médio,11,1336.21
Americana,Mecânico De Manutenção De Bicicletas E Veículos Similares,11,1881.53
Boituva,Publicitário,11,6002.72
Ibiúna,Caixa De Banco,11,3230.87
Itu,Agente De Viagem,11,3609.94
Americana,Sondador De Poços (Exceto De Petróleo E Gás),11,2171.73
Cerquilho,Estampador De Tecido,11,1756.4
Charqueada,Técnico De Enfermagem Do Trabalho,11,1850.3
Porto Feliz,Gerente De Restaurante,11,2854.32
Boituva,"Operador De Extrusora (Química, Petroquímica E Afins)",11,2420.17
Piedade,Administrador,11,4275.12
Piedade,Guarda-Civil Municipal,11,2779.03
Itupeva,Apontador De Mão-De-Obra,11,3396.53
Itu,Projetista De Móveis,11,2269.21
Itu,Desossador,11,2151.19
Itu,Bamburista,11,3002.16
Araçatuba,Técnico Em Manutenção De Instrumentos De Medição E Precisão,11,4397.87
Charqueada,Enfermeiro,11,4296.6
Itupeva,Agente De Viagem,11,2688.53
Araçariguama,"Lavadeiro, Em Geral",11,1532.44
Itu,Mecânico De Manutenção De Máquinas Têxteis,11,5595.2
Itupeva,Operador De Sistemas De Prova (Analógico E Digital),11,4823.51
Araçatuba,Mecânico De Manutenção De Bicicletas E Veículos Similares,11,1656.27
Araçatuba,Instalador De Sistemas Eletroeletrônicos De Segurança,11,1902.92
Cabreúva,Mestre De Produção Química,11,4285.08
Cabreúva,Técnico De Manutenção Elétrica,11,4700.68
Itupeva,Carteiro,11,3774.41
Dourado,Técnico De Laboratório Industrial,11,2242.49
Itapetininga,Professor De Engenharia,11,1177.63
Itapetininga,Agente De Portaria,11,956.1
Americana,Polidor De Pedras,11,2817.82
Araçatuba,Estampador De Tecido,11,1678.15
Araçatuba,Estofador De Móveis,11,1727.53
Pindamonhangaba,Gerente De Produção E Operações Da Construção Civil E Obras Públicas,11,7380.41
Cabreúva,Médico Clínico,11,7891.25
Porto Feliz,Analista De Pesquisa De Mercado,11,4030.17
Itupeva,Operador De Filtro-Prensa (Tratamentos Químicos E Afins),11,3020.81
Americana,Operador De Impermeabilizador De Tecidos,11,2101.14
Porto Feliz,Prensista (Operador De Prensa),11,2952.79
Porto Feliz,Mecânico De Manutenção De Equipamento De Mineração,11,4152.81
Araçatuba,Auxiliar De Biblioteca,11,1450.19
Cabreúva,Preparador De Sucata E Aparas,11,1637.8
Itu,Professor De Química No Ensino Médio,11,1788.18
Itupeva,Vendedor Pracista,11,3061.49
Porto Feliz,Leiturista,11,4589.05
Cabreúva,Trabalhador Da Elaboração De Pré-Fabricados (Concreto Armado),11,1889.94
Araçariguama,Supervisor De Vendas Comercial,11,9144.1
Itapetininga,Sepultador,11,2279.7
Cerquilho,Supervisor De Embalagem E Etiquetagem,11,1718.69
Ibiúna,Instalador De Tubulações,11,5435.76
Americana,Impressor Flexográfico,11,2852.24
Itupeva,Supervisor De Manutenção Eletromecânica,11,9117.24
Itupeva,Montador De Móveis E Artefatos De Madeira,11,2682.77
Americana,Professor De Biologia No Ensino Médio,11,3684.24
Araçatuba,Gerente De Operações De Transportes,11,5497.07
Araçatuba,Carregador (Aeronaves),11,1122.5
Itupeva,Supervisor De Compras,11,6723.55
Piedade,Auxiliar De Faturamento,11,2239.99
Americana,Pesquisador De Engenharia E Tecnologia (Outras Áreas Da Engenharia),11,6338.77
Itapetininga,Controlador De Pragas,11,1632.63
Araçariguama,Vendedor Em Domicílio,11,4474.22
Americana,Metalizador A Pistola,11,3517.63
Porto Feliz,Encarregado De Manutenção Mecânica De Sistemas Operacionais,11,6502.86
Araçariguama,Gerente De Projetos E Serviços De Manutenção,11,11045.26
Araçariguama,Atendente De Farmácia - Balconista,11,1557.48
Itupeva,Classificador De Madeira,11,1745.73
Ibiúna,Recreador,11,2930.49
Araçatuba,Gerente De Clientes Especiais (Private),11,8910.93
Itupeva,"Eletricista De Manutenção De Linhas Elétricas, Telefônicas E De Comunicação De Dados",11,4444.99
Piedade,Auxiliar De Pessoal,11,2056.9
Itapeva,Operador De Painel De Controle,11,3456.21
Ibiúna,Nutricionista,11,3048.22
Itupeva,Preparador Físico,11,1810.93
Pindamonhangaba,Professor De Educação Artística Do Ensino Fundamental,11,1358.14
Itu,Supervisor Da Manutenção E Reparação De Veículos Leves,11,4958.05
Pindamonhangaba,Controlador De Pragas,11,1806.92
Itapetininga,Diretor Administrativo,11,9660.27
Itapetininga,Funileiro De Veículos (Reparação),11,1559.18
Itupeva,Trabalhador Volante Da Agricultura,11,2303.94
Itu,Professor De Biologia No Ensino Médio,11,2855.3
Araçoiaba da Serra,Caseiro (Agricultura),11,1618.86
Itu,Professor De Geografia Do Ensino Fundamental,11,2570.98
Macatuba,Padeiro,11,2199.24
Itapeva,Auxiliar Geral De Conservação De Vias Permanentes (Exceto Trilhos),11,1667.14
Itapeva,Técnico De Desporto Individual E Coletivo (Exceto Futebol),11,2871.08
Itapetininga,Pintor De Veículos (Reparação),11,2054.17
Ibiúna,Vidraceiro,11,1613.42
Ibiúna,Auxiliar De Pessoal,11,2508.05
Itapeva,"Instalador De Cortinas E Persianas, Portas Sanfonadas E Boxe",11,1613.77
Macatuba,Recepcionista De Consultório Médico Ou Dentário,11,1615.88
Itu,Supervisor De Orçamento,11,5811.92
Macatuba,Técnico De Planejamento E Programação Da Manutenção,11,5506.54
Araçatuba,Auxiliar De Corte (Preparação Da Confecção De Roupas),11,1274.31
Araçatuba,Desenhista Técnico (Artes Gráficas),11,2202.34
Itapetininga,Sushiman,11,1715.79
Americana,Operador De Bomba De Concreto,11,2297.57
Americana,Analista De Crédito (Instituições Financeiras),11,2328.89
Itapeva,Copeiro De Hospital,11,1649.67
Americana,Operador De Sistemas De Prova (Analógico E Digital),11,3836.01
Americana,Confeccionador De Velas Por Moldagem,11,3104.94
Itapetininga,Oleiro (Fabricação De Tijolos),11,2288.25
Itapetininga,Montador De Equipamentos Elétricos (Centrais Elétricas),11,2650.06
Americana,Supervisor De Orçamento,11,4833.74
Americana,Protético Dentário,11,2092.93
Americana,Desenhista Técnico Mecânico,11,2998.22
Itu,Secador De Madeira,11,1626.21
Pindamonhangaba,Operador De Telemarketing Receptivo,11,2491.51
Itu,Operador De Central De Concreto,11,1928.78
Boituva,Supervisor De Caixas E Bilheteiros (Exceto Caixa De Banco),11,2676.05
Itapeva,Ajudante De Carvoaria,11,1140.73
Itapetininga,Analista De Negócios,11,2636.18
Ibiúna,"Eletricista De Instalações (Veículos Automotores E Máquinas Operatrizes, Exceto Aeronaves E Embarcações)",11,1880.83
Ibiúna,Tecnólogo Em Logística De Transporte,11,4511.68
Americana,Operador De Ponte Rolante,11,2789.44
Itupeva,"Operador De Tesoura Mecânica E Máquina De Corte, No Acabamento De Chapas E Metais",11,2373.14
Americana,Supervisor De Embalagem E Etiquetagem,11,3431.16
Itapeva,Técnico Em Borracha,11,1783.44
Americana,Gerente De Comunicação,11,5275.7
Americana,Auxiliar De Seguros,11,1299.33
Cabreúva,Analista De Exportação E Importação,11,6590.39
Boituva,Montador De Máquinas Operatrizes Para Madeira,11,1574.36
Itupeva,Supervisor De Contas A Pagar,11,4272.46
Itapeva,Professor De Língua Inglesa,11,2104.94
Boituva,Masseiro (Massas Alimentícias),11,1861.2
Cabreúva,Atendente Comercial (Agência Postal),11,1930.87
Itapeva,Mecânico De Manutenção De Empilhadeiras E Outros Veículos De Cargas Leves,11,2135.16
Cabreúva,Confeiteiro,11,2009.72
Itupeva,Trabalhador De Fabricação De Sorvete,11,2519.05
Araçariguama,Eletricista De Instalações,11,3808.41
Itapeva,Expedidor De Mercadorias,11,2040.28
Cabreúva,Técnico De Apoio Em Pesquisa E Desenvolvimento (Exceto Agropecuário E Florestal),11,4401.39
Cabreúva,Armador De Estrutura De Concreto Armado,11,2280.06
Itapeva,Analista De Crédito (Instituições Financeiras),11,1629.95
Ibiúna,Borracheiro,11,1335.89
Itu,Gerente De Suprimentos,11,13393.6
Boituva,Economista Industrial,11,5989.56
Boituva,"Eletrotécnico Na Fabricação, Montagem E Instalação De Máquinas E Equipamentos",11,4971.77
Americana,Gerente De Almoxarifado,11,4880.26
Boituva,"Moldador, A  Máquina",11,2413.69
Americana,Supervisor De Compras,11,5445.88
Americana,Médico Ginecologista E Obstetra,11,14032.32
Itapetininga,Apontador De Mão-De-Obra,11,2560.15
Boituva,Redator De Textos Técnicos,11,5096.85
Boituva,Operador De Fresadora Com Comando Numérico,11,2800.25
Boituva,Técnico De Manutenção Eletrônica,11,4317.87
Porto Feliz,Nutricionista,11,3437.89
Macatuba,"Embalador, A Mão",11,980.76
Macatuba,Trabalhador Da Pecuária (Bovinos Corte),11,1680.29
Araçatuba,Operador De Máquinas De Usinar Madeira (Cnc),11,1878.32
Americana,Técnico Têxtil,11,8072.53
Araçatuba,Economista Financeiro,11,3395.17
Araçoiaba da Serra,Tratador De Animais,11,1054.3
Araçatuba,Guincheiro (Construção Civil),11,2472.91
Americana,Engenheiro Eletricista,11,8800.83
Araçatuba,Selecionador De Material Reciclável,11,1822.7
Araçatuba,Operador De Câmera De Televisão,11,2550.91
Araçatuba,Passador De Roupas Em Geral,11,1548.38
Americana,Professor De Língua Portuguesa,11,3700.42
Araçoiaba da Serra,Gerente De Vendas,11,3065.57
Cabreúva,Varredor De Rua,11,1492.77
Pindamonhangaba,"Supervisor De Manutenção Eletromecânica Industrial, Comercial E Predial",11,3865.21
Itapeva,Supervisor De Ensino,11,5974.35
Dourado,Técnico Em Segurança Do Trabalho,11,4376.87
Araçoiaba da Serra,Condutor De Ambulância,11,3306.45
Itu,"Operador De Tesoura Mecânica E Máquina De Corte, No Acabamento De Chapas E Metais",11,2772.68
Araçoiaba da Serra,Técnico Em Manutenção De Equipamentos De Informática,11,3574.31
Porto Feliz,Operador De Betoneira,11,2780.53
Porto Feliz,Técnico De Manutenção Elétrica,11,7166.81
Cerquilho,Professor De Língua Inglesa,11,2446.7
Araçatuba,Marinheiro De Convés (Marítimo E Fluviário),11,1912.38
Itupeva,Analista De Redes E De Comunicação De Dados,11,2777.81
Araçatuba,Mecânico De Refrigeração,11,2523.75
Porto Feliz,Professor De Nível Superior Na Educação Infantil (Zero A Três Anos),11,2169.52
Charqueada,Caldeireiro (Chapas De Ferro E Aço),11,2038.23
Itu,Professor De Física No Ensino Médio,11,2918.81
Itapetininga,Professor De Língua Inglesa,11,1409.49
Cerquilho,Mestre (Indústria Têxtil E De Confecções),11,5103.93
Charqueada,Trabalhador Da Avicultura De Corte,11,1364.61
Piedade,Técnico Eletrônico,11,3532.7
Ibiúna,Zelador De Edifício,11,2179.05
Itapeva,Pedagogo,11,5328.58
Boituva,Médico Endocrinologista E Metabologista,10,5716.21
Itapeva,Visitador Sanitário,10,2410.58
Porto Feliz,Cortador De Roupas,10,2156.6
Araçatuba,Relações Públicas,10,2687.17
Porto Feliz,Condutor De Ambulância,10,3754.32
Cerquilho,Auxiliar De Laboratório De Análises Físico-Químicas,10,1969.33
Itupeva,Marmorista (Construção),10,1846.35
Araçoiaba da Serra,Professor De Ciências Exatas E Naturais Do Ensino Fundamental,10,2838.13
Porto Feliz,Visitador Sanitário,10,3211.05
Piedade,Condutor De Ambulância,10,1958.85
Itu,Analista De Planejamento De Materias,10,2556.75
Araçatuba,Professor De Matemática Do Ensino Fundamental,10,3156.34
Piedade,Supervisor De Crédito E Cobrança,10,2036.42
Piedade,Cozinhador (Conservação De Alimentos),10,2637.75
Macatuba,Montador De Móveis E Artefatos De Madeira,10,1602.33
Americana,Técnico De Planejamento E Programação Da Manutenção,10,3920.62
Itu,Apontador De Mão-De-Obra,10,2058.3
Araçoiaba da Serra,Monitor De Sistemas Eletrônicos De Segurança Interno,10,2387.49
Itu,Topógrafo,10,2042.49
Itupeva,Técnico De Enfermagem Psiquiátrica,10,2275.01
Charqueada,"Supervisor De Operação Elétrica (Geração, Transmissão E Distribuição De Energia Elétrica)",10,5036.17
Araçatuba,Professor De Arquitetura,10,3833.06
Itapetininga,Trabalhador Da Pecuária (Eqüinos),10,2407.72
Pindamonhangaba,Mecânico De Manutenção De Empilhadeiras E Outros Veículos De Cargas Leves,10,3869.25
Pindamonhangaba,Caldeireiro (Chapas De Cobre),10,3297.83
Cabreúva,Carteiro,10,4422.98
Piedade,Trabalhador De Fabricação De Sorvete,10,1646.09
Itapetininga,Gerente De Agência,10,10356.39
Pindamonhangaba,Desenhista Projetista De Arquitetura,10,2859.43
Americana,Diretor Administrativo E Financeiro,10,11985.32
Itu,Eletricista De Instalações (Edifícios),10,2923.42
Araçatuba,Modelista De Roupas,10,2450.36
Itu,Técnico Mecânico Na Manutenção De Ferramentas,10,4575.16
Itu,Gerente De Bar,10,2582.51
Piedade,Professor De Educação Física No Ensino Superior,10,2277.69
Itapetininga,Técnico De Rede (Telecomunicações),10,2281.63
Itupeva,Professor De Alunos Com Deficiência Mental,10,2466.36
Itupeva,Programador De Máquinas - Ferramenta Com Comando Numérico,10,5436.54
Araçatuba,Professor De Língua Portuguesa,10,2991.39
Itupeva,Recepcionista De Hotel,10,1846.56
Porto Feliz,Analista De Folha De Pagamento,10,3530.55
Ibiúna,Supervisor De Caixas E Bilheteiros (Exceto Caixa De Banco),10,2237.67
Porto Feliz,"Lavadeiro, Em Geral",10,2851.15
Cabreúva,Gerente De Marketing,10,5489.99
Itapetininga,Gerente De Produção E Operações  Florestais,10,11701.76
Ibiúna,Professor De Alunos Com Deficiência Múltipla,10,5283.77
Cerquilho,Gerente De Recursos Humanos,10,8340.77
Cabreúva,Professor De Educação Física No Ensino Superior,10,3563.07
Cabreúva,Eletrotécnico,10,9308.58
Pindamonhangaba,Metrologista,10,3574.37
Ibiúna,Técnico Em Segurança Do Trabalho,10,5756.03
Pindamonhangaba,Técnico Em Mecatrônica - Automação Da Manufatura,10,6533
Cabreúva,"Operador De Tesoura Mecânica E Máquina De Corte, No Acabamento De Chapas E Metais",10,3332.64
Araçatuba,Documentalista,10,5065.02
Itupeva,Operador De Máquina Misturadeira (Tratamentos Químicos E Afins),10,2857.59
Cabreúva,Montador De Equipamentos Elétricos,10,2654.53
Boituva,Engenheiro De Segurança Do Trabalho,10,8457.52
Cabreúva,Comerciante Varejista,10,2777.7
Cabreúva,Operador De Retorcedeira,10,1615.84
Itapetininga,Chapeador,10,1795.28
Araçatuba,Pedreiro (Chaminés Industriais),10,2454.54
Porto Feliz,Estoquista,10,1854.35
Charqueada,"Confeccionador De Bolsas, Sacos E Sacolas E Papel, A Máquina",10,2005.45
Araçatuba,"Mecânico De Manutenção De Aeronaves, Em Geral",10,2180.84
Araçatuba,Operador De Usinagem Convencional Por Abrasão,10,2364.55
Americana,Extrusor De Fios Ou Fibras De Vidro,10,2401.77
Araçoiaba da Serra,Técnico Em Radiologia E Imagenologia,10,2715.78
Americana,Desenhista Técnico (Arquitetura),10,3068.03
Charqueada,"Recepcionista, Em Geral",10,1680.49
Araçoiaba da Serra,Conferente De Carga E Descarga,10,1872.16
Porto Feliz,Projetista De Móveis,10,2504.06
Itupeva,Auxiliar De Cartório,10,1479.05
Araçoiaba da Serra,Zelador De Edifício,10,2069.58
Porto Feliz,Professor De Nível Médio No Ensino Fundamental,10,2167.85
Araçatuba,Operador De Máquina De Usinagem De Madeira (Produção Em Série),10,2087.7
Porto Feliz,Zelador De Edifício,10,1991.46
Porto Feliz,Recebedor De Apostas (Loteria),10,1632.94
Itapetininga,Operador De Processo De Moagem,10,2179.26
Porto Feliz,Encanador,10,2209.81
Araçoiaba da Serra,Selecionador De Material Reciclável,10,1344.04
Araçoiaba da Serra,"Costureiro, A  Máquina  Na Confecção Em Série",10,1720.86
Itapeva,Auxiliar De Pessoal,10,1860.75
Pindamonhangaba,Arquiteto De Patrimônio,10,7033.07
Araçoiaba da Serra,Operador De Máquina De Cortar E Dobrar Papelão,10,2033.74
Araçatuba,Enfermeiro Psiquiátrico,10,3265.56
Cabreúva,Supervisor De Exploração Agrícola,10,2803.07
Cabreúva,Recreador,10,1838.14
Araçatuba,Supervisor De Manutenção Eletromecânica,10,2642.37
Araçatuba,Engenheiro Mecânico Industrial,10,3924.47
Araçatuba,Técnico Em Nutrição E Dietética,10,2775.35
Itupeva,Trabalhador Da Pecuária (Bovinos Corte),10,1973.69
Americana,"Salsicheiro (Fabricação De Lingüiça, Salsicha E Produtos Similares)",10,3096.36
Cabreúva,Assistente De Laboratório Industrial,10,2697.57
Araçariguama,Impressor De Rotativa,10,7800.41
Cabreúva,"Pintor, A  Pistola (Exceto Obras E Estruturas Metálicas)",10,3149.36
Americana,Comerciante Atacadista,10,5551.64
Porto Feliz,Auxiliar De Desenvolvimento Infantil,10,1427.78
Americana,Instalador De Isolantes Térmicos De Caldeira E Tubulações,10,1410.53
Araçatuba,Gerente De Hotel,10,4025.08
Dourado,Estoquista,10,2388.96
