nome_municipio,nome_profissao,total_trabalhadores,salario_medio
Porto Feliz,Vendedor De Comércio Varejista,532,2067.68
Pindamonhangaba,Trabalhador De Serviços De Limpeza E Conservação De Áreas Públicas,527,1740.38
Itapetininga,Técnico De Enfermagem,527,2357.61
Pindamonhangaba,Motorista De Caminhão (Rotas Regionais E Internacionais),526,2383.76
Araçatuba,Enfermeiro,526,4227.25
Ibiúna,Promotor De Vendas,517,1310.74
Itupeva,Almoxarife,516,2406.82
Itapetininga,Trabalhador Da Avicultura De Postura,516,1875.14
Cabreúva,Faxineiro,514,1490.54
Araçatuba,Atendente De Lanchonete,512,1428.48
Americana,Auxiliar De Contabilidade,509,2459.83
Itu,Porteiro De Edifícios,506,1977.87
Itapetininga,Repositor De Mercadorias,505,1431.01
Ibiúna,Motorista De Caminhão (Rotas Regionais E Internacionais),501,2237.22
Itapeva,Operador De Caixa,501,1599.37
Itupeva,Faxineiro,498,1528.34
Araçoiaba da Serra,Alimentador De Linha De Produção,490,2248.71
Porto Feliz,Ajudante De Confecção,486,1300.22
Itu,Cozinheiro Geral,485,1747.24
Americana,Professor De Nível Médio Na Educação Infantil,485,4833.81
Araçatuba,Trabalhador Da Manutenção De Edificações,483,2070.84
Americana,Gerente Administrativo,482,5098.28
Araçatuba,Auxiliar Nos Serviços De Alimentação,480,1476.42
Itupeva,Operador De Empilhadeira,479,2444.41
Cerquilho,Vendedor De Comércio Varejista,479,1680.47
Araçatuba,Açougueiro,477,1847.44
Cerquilho,Ajudante De Confecção,476,1291.15
Americana,Analista De Suporte Computacional,474,2714.9
Itu,Operador De Empilhadeira,468,2526.12
Itu,Recreador,464,1270.5
Araçariguama,Carregador (Armazém),463,1517.58
Cabreúva,Auxiliar De Escritório,459,2193.61
Boituva,Assistente Administrativo,459,2336.07
Itu,"Operador De Máquinas Fixas, Em Geral",455,3253.03
Itu,"Recepcionista, Em Geral",455,1669.49
Americana,Atendente De Lanchonete,454,1556.11
Pindamonhangaba,Servente De Obras,450,1951.46
Americana,Operador Polivalente Da Indústria Têxtil,444,1869.97
Araçatuba,Analista De Desenvolvimento De Sistemas,444,4241.83
Cerquilho,Laminador De Plástico,434,2385.83
Americana,Expedidor De Mercadorias,432,1985.33
Pindamonhangaba,"Recepcionista, Em Geral",425,1575.9
Araçatuba,Gerente Administrativo,425,4290.18
Itapetininga,"Costureiro, A  Máquina  Na Confecção Em Série",423,1277.33
Americana,Açougueiro,422,2258.37
Itupeva,"Mecânico De Manutenção De Máquinas, Em Geral",421,4578.43
Itapeva,Trabalhador Volante Da Agricultura,419,1455.22
Cerquilho,Motorista De Caminhão (Rotas Regionais E Internacionais),418,2461.04
Pindamonhangaba,Professor De Nível Médio Na Educação Infantil,418,3396.49
Itu,Auxiliar Nos Serviços De Alimentação,416,1507
Itapeva,Assistente Administrativo,416,2046.01
Americana,"Embalador, A Mão",415,1352.53
Porto Feliz,Assistente Administrativo,414,2747.94
Itapetininga,"Operador De Máquinas Fixas, Em Geral",412,2574.79
Itu,Ajudante De Motorista,411,1563.38
Itu,Montador De Equipamentos Eletrônicos,411,1801.3
Boituva,Operador De Caixa,407,1791.65
Araçatuba,Almoxarife,406,1974.32
Itapeva,Técnico De Enfermagem,404,2376.94
Dourado,Alimentador De Linha De Produção,404,2183.92
Araçatuba,Cozinheiro Geral,401,1628.02
Itapetininga,Servente De Obras,400,1564.93
Itupeva,"Operador De Máquinas Fixas, Em Geral",399,2848.91
Pindamonhangaba,Técnico De Enfermagem,398,2326.81
Araçatuba,Pedreiro,396,1757.26
Americana,Frentista,395,2165.64
Ibiúna,Repositor De Mercadorias,395,1464.6
Itu,Atendente De Lanchonete,393,1536.85
Pindamonhangaba,"Mecânico De Manutenção De Máquinas, Em Geral",385,3597.4
Araçatuba,"Mecânico De Manutenção De Automóveis, Motocicletas E Veículos Similares",384,2389.33
Itapeva,Alimentador De Linha De Produção,382,1507.62
Pindamonhangaba,Porteiro De Edifícios,381,1708.51
Ibiúna,Trabalhador De Serviços De Limpeza E Conservação De Áreas Públicas,376,1697.14
Itapetininga,Professor De Nível Superior Do Ensino Fundamental (Primeira A Quarta Série),375,5103.45
Piedade,Motorista De Caminhão (Rotas Regionais E Internacionais),374,2225.07
Itu,Trabalhador De Serviços De Limpeza E Conservação De Áreas Públicas,369,1864.23
Itu,Vigia,367,2359.33
